,textstring
5.2,alandes ghedroghede wortelen des morghens nochterne in deme munde ghekauwet yffte ghegetten sterket de tenen vnde dodet de spol worme vnde starket dat herte. de blasen. den maghen. vnde alle de suke ede in der borst van kulde syn beyre effte wyn nochterne ghe drunken dar droghe alandes wor telen inne gesoden ys ys gud dem kolden magen de vele boses wyn des hebben. vnde ys ok gud de ve le suke in der borst hefft van kolder sake wegen.  beyrer efte wyn dar de sulue wortele drey daghe vnde drey nacht inne leghen hefft vnde dar aff ghedruncken nochteren vorclaret de oghen dat ghesichte gantz wol vnde des mynschen stem me. ock ys dat gud vor den hosten dede ys van kulde. alandes wortelen puluer myt winter gersten in vle tem watere gesoden wente yt dickel eftich wert des gedruncken eyn lut tick des morgens vnde des auendes vor drift den dampen efte de ambor sticheyt de van kulde ghekomen ys alandes wortele vnde krud versch distileret dat water ghedruncken auent vnde ock den morgen ys gud yegen den bestoppeden magen vnde we nicht wol pissen kan vnde der vrowen blomen bestoppet dat ock. schorf vppe dem liue vnde in dem liue mede bestrecken ys gud also schriuen de des ervaren synt.
6.1,alhorne in westualen ys hol deren efte holunder in sassen to latine sambucus. alhorne water van den blomen distileret soycke holdern
7.1,alrune ys mandragora dar sprecken constantinus unde platearius vele wyse vnde krefte van auer sanctus agustinus in dem drittigesten capittele des ersten boc kes der hilligen scrift secht dat he ouer sacg alle de boecke der heyden schen meyster. van krudenature dar en vant he alsulkes nicht inne dar vmme sta also du steyst men secht vele dar van der alrunen. crede si vis non est euangeljum quia nullus auctorum testatur.
8.1,alsnick husnacke de wortelen gedroget synt gud nicht twe iar. de wortele gesoden in watere efte in olden dunne beer ge druncken warm des morgens vor drift den houet vlote. der blasen sucke des magen opblasinge pine. vnde ys gud den de myt not pissen spreckt diascorides. alsnick syn wortele nicht syn krud ys nutte. de wortele in wine efte in wate re gesoden gedruncken loset de be stoppinge der milten. der leueren. ock de kolden spise. de alle dre van kulde synt geworden. dat sul ue water ys best den yungen in dem sommere vnde de wyn in deme win ter. ock den olden luden der wor telen puluer myt fenekol sade gegetten edder gedruncken vordrift de vpblasinge des magen. ock des ingheweydes vnde starket den hof ganck schrift platearius
9.1,allun ys het vnde droge in dem verden grade so de wyt ys alun puluer myt wegetreden krude sape vnde eyn luttick rosen waters vor dryft den stanck vnder den armen bestreken dar mede allun puluer myt corianderen puluer in water gesoden vordrift luse ock wantluse dar mede gewaschen allun puluer rosen ekappele in etcke gesoden vnde al le dage twe efte dre mal warm ge holden vor dage in deme munde dat vordryft denn swuls des tenne vleycsches. io doch eyn flugecop erst vp den hals dat blot te ersten vth. in deme bade dat lyff myt warmen water wol erst gewaschen vnde denne gesmeret myt alun pul uere vnde olye van groten noten ghesoden vnde vppe heytegloyndige steyne in eyner boden gheghoten dar eyn watersuchtich edder gich tich. effte eyn clauwichtich. schor uechtih mynsche wol inne swete. vnde syk dar na myd reynen sladde ken watere wol weschet dat ys gud deme mynschen. dut secht auicen na ok platearius.
10.1,adick is ebulus syn wor tele vnde de innewendige bor ke in der meygen tyd vpgenomen gedroget in der sunnen waret eyn iar or kraft in artzedige.  adick wortelen myd den bladen in wyne gesoden auent vnde morgen gedrun ken brecket den steyn. in blasen in neren. de sulue dranck ys gud der kranken mylten vnde droghet de watersucht. also secht magister plinius.  adick wortelen sap myd ezula puluer. myd venkel sat pul uer myd suckere vnde dunnen warmen beyre ghedrunken vnde des suluen ghegetten is gud wed der dat degelicke feuer dat van na turlickem flegma is  ock wedder de gycht in schulderen. ellebogen. podogra. cyragra dat is voetsuke hantsuke wedder de wa tersucht de van kulde is  adick krud vnde wortelen in soltwatere gesoden vnde de arm edder de beyn de gheswullen synt ouer den zwadem geholden vnde wol ghe bedet in deme bade vordryfft den swulst icht he ok van watersucht ys also secht platearius.
10.2,eyne hant vul adick berecken wan se nyge synt ghesoden in eynen vor gleseden vathe vnde wol geschu met also langhe dat de helffte vorsoden sy vnde de ander helffte bly ue. dat schal denne stan in deme va te dat yd de nacht kole. des morgens syghe dat dorch eynen dicken tweyuolden dock.  de haluen quar ten ghyff in eyne gancze quarten yffte mer anders wynes. dar aff ghedrunken auent vnde morghen dat weycket den buck vnde beholt one weyck vnde maket vele ande re suntheyt deme mynschen also hyr vore ghescreuen steyt alszo dat ock beuunden is.  adick bledere in water gesoden ghedrunken wa mme in dat bat wyl ghan vordryfft de watersucht ok myd dene kru de ghebadet expertum est.
11.1,akleygen sad in deme mun de ghekauwet vnde dat nate also inghesogen vnde de hulsen des sades vthgespiget vordryfft de hesicht de van ropen de syngende edder van boser lucht yffte anderswur aff geworden is. etc  akeleygen krud myd oreme sade in wyne ghesoden vnde ghedrunken vordryfft den steyn. men mot ouer io eyn luttik wynes na drinken anders ys de dranck alto starck secht dyascorides.
12.1,amedunck nodemel sunnenmel amidum edder anulum. amedunck gesoden in gersten water dar na gemenget myt mandelmelck ok sucker vnde geschumedes honniges eyn luttik dar to vnde dar aff gedrun ken auent lest des morgens erst is gud wedder den hosten vnde wedder dat swel in der borst schrifft platearius.
12.2,amedunck gesopen vnde gedrunken in warmen beer auent vnde mor gen dat maket de struuen stroten ok de struuen borst slicht vnde ys gud den bosen seyken blasen. ok den de blot mit der spekelen vt roffelen. ok maket dat de vuchten ogen droge. amedunk gesoden myd watere dar sucker vnde mandel olye to gedan ist vnde dar aff gedrunckenn nochteren ys gud tegen den drogen hosten vnde tegen dat nate dat van deme houede vppe de borst vnde vppe de lungen valt secht plinius vnde diascorides. amedunck myt ande rer arszedie gemenget vnde in de ogen gedan vordryft dat nate dat van deme houede inde ogen nedder sicht vnde losed edder vordrift dat ogen seer ock de cliuen de in den ogbran werden sprickt magister ysaac. amedunck myd semelen tho hope koc ket vnde gegetten dat starket den mynschen wol vnde gyft gud blot. auer io doch amedunck vake vnde vele genuttet ys der stroten bose vn de schemmert de ogen vnde de sten wasset dar aff in der blasen ock in der neren. io bouen alle den dede hete neren hebben also magister ysaac sprickt in dietis. amedunck myt sucker vnde mandelen olye gemenget vnde vppe de stede gelecht dar de hut af schulfert dat slichtet dat ock gedrunken slichtet dat de borst vnde de stroten amedunck myd lysen gegeten stoppet den dunnen hoffgank amedunck alle tyt genuttet bestoppet de leueren vnde de lungen.
13.1,anis ys anisium. wen men den nuttet de vordryft den wynt de de darme vnde den magen beswert vnde gyfft gude hytte der leueren ock gude douwinge den magen anis gepuluert vnde ghe nuttet stillet den hofgank. anis gepuluert myt warmenwater ghe drunken vor drift den dorst edder stillet de roracen ed oket der vrou wen tyd ock ore melk vnde ys gud iegen vorgifft anis myt bonen me le vnde myt heteme honnige gemen get vordrift den swuls des mannes gemechtes dar up gelet. anis ve nekol sat komen sat cynamomen borken muschatenblomen gepuluert vnde in wyne gesoden gedrun ken vordrift des bukes bose winde ed weyket des magen spise ed vordrift de bitteren vprufinge. ok de clemminge des bukes vnde der derme anis myt kole myt peter cilien myt beten ock myt keruele gesoden myt smalte vnde gegeten vordrift de bestoppinge der leueren der mylten vnde ok der neren. anis vnde kome gepuluert vnde myt wasse warm eyn plaster vppe brune hut der van stoten edder slegen ys vordrift de misuarwe in deme ange sichte edder by den ogen anis in spise edder in dranke oket der vrou wen melk ok de vruchte der kindere telinge in manne in vrouwen secht platearius anis vppe kole vure gebraden vnde den rok in de nese genomen sachtet des houedes krancheyt vnde swiminge. seht auicenna secundo canonis. anis lock sap bom olye tohope soden in eyner vtholden cypollen vnde des in de oren gedropet vordrifft de suke der oren. ok de douicheyt secht platea rius. anis in deme munde gekau wet beholt eyn iunck angesichte. ed vordrifft den stanck des mundes. ed gifft guden smack der ande ren spise also schrift magister dyas corides  anis puluer auent ock morgen myd warmen wyne edder oldem beyre gedrunken is gud de me houede der borst deme ingewey de den ledematen alle. vnde gyft gu den slap ock breket dat den steyn in den neren effte blasen. so spricket magister dyascorides  anis puluer in wine edder beyre gedrun ken vorlichtet des wanderen modich eyt. anis puluer myt dren vinge ren vp genomen vnde beuergeylen eyn quentin gaff magister eraclides mit wermen wyne auent vnde morgent wedder de inblasinge des magen vnde der darmen. anis vaken vnde ste de ghenuttet is deme magen bose wente he vele windes vnde vpblasin ge hefft sprecket magister plinius. anis krud vnde anis sad dar dystellere water aff dat drinck iegen den stein iegen den bosen windt des bukes vnde iegen de watersucke vnde is gud de nicht wol pissen edder netten mach  alle dusse stucke scriuen de eruaren meyster.
14.1,arona aronea yarus pes ui tuli require.  arona koword rulpwort kaluesuoet. syn krud myt bom olye in rodem wyne soden eyn plaster vp de oren vordrift der oren swuls  aronen wortelen sap maket olde wunden versch. grone krud myt der wortelen myd oldem swinen smere gestot is gud den sweren vnde drosen de van kulde hart sint. grone wortelen gepuluert vnde in rosen water gemenget vnde wedder in der sunnen gedroget drie edder tho veyr malen edder mer dar na des pul uers myt rosen water gemenget vnde dat antlate dar mede des auendes be streken maket witter weyker hut wen ienich ander dinck secht platea rius.
15.1,andorn prassium anedron de blade wit godes uor geten. de blade vnde de borcken der wor telen synt gud eyn iar wan se syn vp gedroget vnde nicht in der sunnen. an dorn blade ok dat sad ghepuluert vnde mit wyne gesoden vnde warm auent vnde morgen gedruncken dat opent de bestoppede leueren vnde de milten. ed sachtet de bosen brust de bosen syden ok den hosten vnde suuert de vnde de lun gen andron krud myt honninge. in vule wunden ghelecht werden versch vnde reyne.  dat krud in water ghesoden vnde vmme de oghen gestreken vnde gedruncken. vorclaret dat ghesichte. edt kre nket de watersucht sunder den kran ken nereen. lenden der krancken blasen is edt quat. dat sulue krud myt wyne ghesoden vordrifft de kolden pissen des morgens warm ge druncken.  dat sulue krud myt etike vnde honnige gesoden warm auent vnde morghen gedrunken maket den vrowen ore tyd wol.
15.2,dat sulue krud myt eteke vnde hon nighe ghesoden warm auent vnde morghen ghedruncken maketh den vrowen ore tyd wol.  dat sulue krud myt honnighe vnde myt beuergeylen soden vnde warm ok auent vnde morghen ghedrunken. suuert alle slimicheyt der blasen.
15.3,andorn sap myd wyne ghesoden vnde druncken ys gudt tho allen vor gheschreuen stucken. wen sun der tieghen duster oghen tieghen hostent amborsticheyt ock tiegen de derffsucht segghen diascorides et constantinus. andorn sap edder syn puluer myd honnighe tem pereret suuert de wunden. vnde heylet de sweren de vmme sick an dat vlescheret. dat sap myd hon nighe edder myd wyne an de dun ninghe ghestrecken vordrifft den schem der oghen.  dat sulfte in de nesen ghedan helpet den swereden oren. dat sulue ghenuttet ys gud den dede swarliken athmen. vnde hichen.  dat sap vnde ghe schumet honnich lyke vele tho hope soden dat yd wadt dickelaftich werde vnde den ghepuluert ysope ock lackritze dar in ghesaden dat dat eyn electuarium werde dat is ieghen den dampen ieghen de qua den brost dat van kolder slimighen vuchticheyt is. ock tieghen den hosten tieghen de kolden pissen vnde we nicht pissen kan. ock tieghen den kolden kolck. andorn krud in wyne ghesoden druncken vnde dat krud in wyne myt bom olye soden vnde warm twischen den nauele vnde dat mechte eyn plaster is nutte. andorn krud ock wor telen borken puluere myd honnighe sopen dodet de spolworme.
15.4,dat sulue sap in de oren gedropen dodet de worme dar inne wente dat secht platearius.
16.1,aurine centaurea fel ter re febriffuga in latin.
16.2,aurine de grote is nicht wol bekant. hyr vmme sette ick van der kleynen ghemeynen aury nen de schal me vpp nemen wen se beghinnet thoblomende vnde lathen se buten der sunnen droghen. so is se eyn iar gud.  aurine in watere ghesoden des morghens warm ghedrunken vordrift dat deghelicke feuer vnde de hytte in wendich. aurine ghestod vrisch myt oreme sape vppe de wunden leyt se heylen drade vnde vordrift de mal de van wunden werden. aurine sap myt en luttick wa ters ghenuttet bringhet den vrowen ore suke. vnde drift dat dode kynt vth deme lyue.  aurine ed der ore puluer myt wyne vpghesoden warm ghedruncken drift vt der roren alle vor giftnisse de ome gheuen is. ock suuert ot den maghen wol. dat sulue myt ete ke soden. vnde des morghens al warm ghedruncken vordrift alle des maghen slimicheyt vnde is gud tieghen bosze ghedrencke.  au rinen puluer myd schumeden honnighe soden alse lectuarium en lut tinck auent vnde morghen getten vordrift den schem der oghen.
16.3,dat sulue dodet des maghen spol worme. aurine myt lock sape do det de worme in den oren dar in gedropen. aurine myt sucker vnde wyne gesoden genuttet dat opent de bestoppinge der leueren der mylten der blasen der neren vnde is gud den de nicht wol or water laten kunt  aurinen puluer edder ore sap myd bom olye myt wasse eyn salue warm vppe de seken mylten is nutte. aurinen sap schalme in dem herweste maken vnde laten dat drogen in der sunnen dat is gud to allen dussen vorghescreuen dingen dat gantze iar genuttet also  au rinen sap gedrunken in dem meygen ock in dem auste is gud to alle dus sen vorsprocken stucken. hec omnia ex magistris prius nominatis  water van aurinen gedistilleret vnde nochter ne des auendes ghedrunken war met den kolden magen vnde drifft dar vt worme de dar inne synt ex
17.1,aloe holt ys  pertum est. heyt vnde droge in deme ande ren grade kauwestu des in dynem munde vnder tyden nochterne dat starket. bregen. herte. synne leueren magen vnde maket eyn vrolick her te vnde eynen wolrukende athmen aloe holtes anderhalff quentyn ghepuluert dat dele in wyn vnde drinck des dre morgen nochteren dat vordryfft alle vuchtnisse in deme magen vnde vordryfft den blodt ganck vnde melancolien.  alszo secht wilhelmus placentinus et cetera  agrimola k. borwort
18.1,bibot aller krude eyn uro we is artamesia welk vrowe ore blo men nicht en heft de pluke de blade der roden biboten dalwart aff vnde seyde de in water edder in beyre vnde drinke dat. ok de sulue myd vette also kol gegeten wert ouer de blomen to langhe so plucke de blade vpwort aff vnde nutte also sulues  welck wyff in arbeyde myd eyneme kynde is de sede bibot myd wyne edder myd beyre vnde nutte dat edder bynde dat sulue vnder den nauel so gene set se alto hant wan dat kynt kummet so schalme dat aff nemen vnde wan yd geboren is. uan biboten water gedistilleret vnde gedrunken maket des mynschen water. ok der wyff blomen gande vnde dryfft dat dode kynt vt dem lyue to der gebort.
18.2,bibot myd wyne edder myt bey re gesoden vnde genuttet is gud dem de myt nod vertet ok vordrift dat den steyn.  bybot vackene myd wyne gedrunken vnde ghenuttet helpet wedder de gele sucht. ok den de swarliken athmen.  we biboten nuttet deme schaet nicht vorgyfft edder touernisse ock schadet ome nicht wat deyr one bitet. welck vruwe an der bermoder edder an der bortmoder seyck is. de seyde biboten in water vnde bede oren buck dar ouer. we den steyn hefft vnde nicht pissen kan vnde de gelen sucht hefft de sede bibot in wyne vnde drincke den alszo he allerheytest mach biboten wortelen an dem hal se gedragen deme kan neyn bosze padde effte worm schaden noch ste ken vnde heft se ome geschadet der by bote sap myt wyne ghenuttet vor dryft dat. bibotes sap myd wy ne gedrunken dryft dat dode kynt van deme wyue. welck wyff eynen har den buck hefft de stote biboten vnde se de de in vletende efte regende watere vnde bynde dat warm vppe oren buck so werth he weyck vnde de swuls vorgheyt.  bibote in wy ne edder in beyre gesoden gedrunken is gud den de syk vele vordrinken an wyne edder an beyre.  weme de crop edder de koder is. de sede by bot myd wyne vnde drinke dat. ock stote biboten myt vngesolten smalte vnde bynde dar vp so vorgheyt he.
18.3,we biboten des morgens nuttet deme enkan nyn bose dranck edder neyn deyr schaden wert he van eyneme bosen worme vorseriget. so supe he dat sap myt wyne edder mit beire welck wyn vorlegen is bibot lege me dar in so wert he vrisch gron vrisch bibot in must gelecht wen he geret de wyn is gud ghenuttet vor alle suke de hyr vor gescreuen sint. ok de wyn hefft guden roke vnde guden smack vnde starket den ma gen vnde heylet de borst. hec omnia di cit plinius. wan dat wiff na des kindes bort grote bittere klemmige prekelige hefft by dem nauele denne bibote in water gesoden vnde gestot vnde vp den nauel myd eyne lynen docke gelecht eyne stunde lanck so vorgeyt dat. we dat feuer edder dat kolde erst. dar na hitte hefft wan syk de suke beghint. so drincke he warm biboten sap edder wyn ichte beyr warm dar bibote ine soden is dat dohe dre dage so geitde materie der suke to dem munde edder achter vt biboten blade wortelen ichte blo men ichte allene de blade in wyne edder in beyr gesoden vnde vaken des warm auent vnde morgen gedrunken maket de blomen also sere dat ich tes wan de bord vt dem buke des wyues drifft  biboten wortele myt beyre gesoden vnde warm gedrun ken weyket des mynschen buck.
18.4,rot bybot versch myt blomen in wyne gesoden warm auent vnde morgen vaken genuttet maket vruchtbar welck wyff van vuchtnisse we gen vnfruchtbar is. alsz eyn veth wyff is dat ouer van drogichtich eyt alse eyn maget wyff szo is dat
19.1,borgele por  nicht gud. tulata aradragus adragius ro gegetten edder also eyn warm mos is gud iegen de hytte in febre borgele gestot gegetten effte ghe drunken vordrifft des buckes bloyte iffte hoffganck. borgele gestot is gud den swillenden ogen dar vp gelecht. borgele genuttet in deme zommer vordrifft de hitte. ock is se gud to der blasen. ok is se gud we blot vp roppent. vnde de tene sweren de kauwe se. ok borgele myt wy ne edder myt solte nuttet weyket wol den buck. se heft de kraft ace dule der zurken secht plinius. borge len sap vp dat houet geleit vordrift de hytte vnde kranckheyt ok vor dryfft se vnkuscheyt.
19.2,dat sap vakene ghedrunken vor dustert de oghen.  borghelen ge drunken vnde dar van eyn plaster vppe den maghen vordrift de hitte der leueren. ock der vrowen suke ock vnkuscheyt. ock de hitte des maghen. borghele vp de lickdor ne ghelecht ghewreuen vordrifft se  edder nym versch gense hoer legghe vppe de lickdorne. borghe le vp de swullen vnde bosen vur bled deren vppe de sweren dat se nicht vul werden eyn plaster dar van. vp ghelecht is gud. borghele ge stodt myt wyne in deme munde ge holden is gud den afuulighen tenen. vnde des houedes kloppende kranckheyt. borghele ghebraden vnde ghegheten is gud den in de me feuere blodet de nese. borge le versch kolet de droghen hitte.
19.3,borghele myt brode eyn plaster vp de swullen oghen. ock vp de po dogram is gud. borghele bouen dyn bedde gehenget so sustu nicht greselike drome. borghele wortelen ghedroghet in eynen erden vate vnde ghepuluert dar tho honnich is gud den klouen lippen ock de klouen der vthsetischen luden me de bestreken is nutte. ysaac plate arius macer auicenna papias.
20.1,borword is agrimonia is grensinck. grone borwor des krud in eteke soden vnde des morghens warm ghedrunken vor drift alle bledderen de in deme liue inwendich sint ock des bukes we daghe vordrift yd. borword gro ne krud de wortelen ghestod vnde ghesoden in eteke vnde in de wun den ghelecht de eyn mynsche ed der eyn dauendich hunt ghebeten heft. ock dat sulue vp de lickdor ne gheleyth. ock vppe den swuls gheleyt dede ghestodt edder gheslaghen is dat heylet wol.  bor word grone krudt de wortele in wyne ghesoden morghen vnde a uent warm ghedrunken is gud tie ghen alle gicht.  ock vordrift se de klemminghe des bukes. vnde vordrift alle vorghifft. borword ghekoket in watere also kol vnde ghegheten is gud tieghen de seken mylten vnde is der quaden borst nutte. borword in watere ghe soden vnde dat houet dar mede waschen vordrifft den schorff myd alle syner vnreynicheyt auicenna. weme de oghen we don. de neme borwort myt deme witten van deme eyge vnde stot yd to sammede vnde bindent dar vp. borword wor tele in wyne ghesoden vnde ghedrunken ys gud tieghen de gicht de in den leden vnde in der maghen is. borword to water distilliret vnde ghedrunken maket der vro wen blomen ghande. dat in de me bade ghedrunken vnde dat lyff dar mede bestreken is gudt deme de nicht pissen kan vnde sere is vp deme lyue. unde is gud tieghen den hust ghedrunken auent vnde morghen.
21.1,beenwelle lodword angal la consolida maior. dat krud ghedroghet ghepuluert ghesoden ghedrunken myt water vor dryfft dat blodent vthe der neze ok beneden den vrowen ok dende blot vphosten. dat sulue krud in mede gesoden vnde warm gedrunken des morgens suuert de lungen.
21.2,grote wunden de geswullen synt vnde bloden. stot de blede myt ereme sape legghe se dar vp alse eyn pla ster dat is gud.  myt honnige ghe stot de blede dar mede reynegestu alle wunden dar inne gedan gron beenwelle gestot myd deme witten van deme eyge dat vordryft de blad deren vnde vlecken der vthsettescheyt dar mede bestreken des auendes.
21.3,ore rodelichtige wortele in wate re gesoden vnde warm gedrunken bestoppet des bukes vlote ok der vro wen blomen. de sulue wortele ge stot myd water vnde myt eteke ghe soden is gud iegen de bosen syden ge drunken. ok we seck in deme lyue to broken hefft  de sulue wortele gekauwet in dem munde vordrifft den dorst. ok de struuicheit des mundes ok vleisch in stucke gesneden vnde myt der suluen wortelen in watere geso den dat sut wedder tohope alz men secht. eyn andere beenwelle is de heft lange stele wol twey armelanck inwendich hol bleyke blomen scharpe blade ore wortele is swart butene vnde is dingk also stref puluer wan id blod vleysch roret dar aff wert iucke vnde schorff. ore wortele ghe stot vnde mit warmen wine effte myd oldem beyre gedrunken auent vnde mor gen warm is gud den de blod myd hosten in dem halse vpthen  ok den de in deme liue broke hebben in wendich. ok den dat nedderhol geswullen is  de sulue wortelen in de heten kole myd tosneddene vley sche geraket dat slut seck wedder tosamende hec omnia dyascorides.
22.1,benedicta wortele nicht dat krud to artzedigen. negelken krud groffeliaten pes leporinus salua mundi. de rode benedicta gyft wedder alleme dranke synen ro ke syne kraft de he vorloren hefft wo se mit watere wol is gewasschen ok wedder gedroget ys vnde in dat beyr effte in dranck eynen dach vnde nacht gelecht vnde wol to gedecket so kricht de sure dranck synen smak wedder dat si beier effte wyn. ok we van deme dranke drinket de hefft rode gude varwe des dages. in welkem huse iffte kameren de bene dicte is dar blift neyn bose worm inne wan se den roke vornemen. ok we dar des morgens af etet efte drin ket des dages roret on neyne gicht weme dat heite feuer ifte eyn star ke sucht angeyt de drinke nochterne van der witten benedicten vnde ete se so langhe dat he wert geloset dar van. ok wan me dusse benedicten einen se ken de dat starke feuer heft vnder syn houet gelecht dat he des nicht en weyt tohant geit ome swet vt syne me houede schal he leuen. schal he ouer van der suke steruen tohantso wert he geyl bleck ane swet des houedes. dar vp schrift magister galienus. spreket vnde ropet de seyke vele dat is eyn bose teyken let he sin gesichte in vele stede edder win kel vmme ghan vnde byd syne lippen werden syne ogen gel vnde vallen nedder in dat houet vnde vor geit dat gesichte wert de nese vor spitz vnde kolt vnde gel werden de vote vnde de tene kolt dat synt alle teyken des dodes schrift galienus
22.2,benedicte is het vnde droge ste de starket se den magen de leueren vnde alle dyngk de in deme menschen synt se dauwet wol de spise auer dat he te lyff bestoppet se. io doch den kolden magen sterket se vnde hel pet ome de grouen spise vor dauwen. uan me se vor de nese holt vnde dar tho ruket dat ys gud de me dat bregen ock dat houet ock de nese loker vor stoppet synt. ok den de leuere ock dat herte krank van melankolyen vnde flecma synt de wortele grone myd dem krude ghesolten vnde in watere myd bom olye ghesoden vnde eyn lanck pilliken dar van achterin gheste ken ys gud iegen den kolk dat sulue in wyne gekocket vnde warm auent unde morgen ghedrunken vor drift den quaden wynt des buckes vnde ys gud yegen krankhet des magen vnde des bukes inghewe de secht diascorides.
23.1,beslotene krud. slotword is daucus agrestis beslote ne krud blomen ane de wortelen nym vp tho hope lat se drogen in dem scheden so ys se eyn yar gud. we dampich ys van kulde der borst de sede se in wyne mit vygen vnde drincke dat auent vnde morgen warm. we den vlote des houedes heft van kulde wegen de make be de krud vnde blomen tho puluere vnde legge dat myt eneme budele vp syn houet alse he heytest kan. wedder den kolden wyndechti gen magen. ock yegen den kolk ye gen de lenden suke dat krud myt den blomen eyn grot deyl in wyne in bom olye soden legge warm dar vp. iegen den sten vnde kol de pissen drynck ore puluer myd wyne ghesoden. weme de leuere vnde de mylte bestoppet synt de leg ge des krudes myt den blomen in half wyn half bomolye negen dage negen nacht des tenden dages seyde dat also lange datde olye alle ne blyue dat syge denne vnde do dar was to vnde make dar sweden aff vnde lege dar vp dat sulue ys ock gud vppe de harden ock vppe de heten sweren wedder de water sucht vnde de kolden bestopenden milten schalme seydenn venekol myt besloten krude vnde myt honnige dar eyn syrop aff werde vnde drinken dat warm dat ys gud.
23.2,beslotene sad myd mark sade ge puluert vnde myd warmen bere auent vnde morgen ghedrunken vnde eyn plaster vppe de borst vnde vp den buck ys gud yegen den hosten iegen den buckdwanck vnde vpblasinghe ock den de nicht pissen kunt. ock den vrouwen de ore tyt nicht wol en hebben ysiderus diascorides
24.1,beenzuge byword baratus apiata mellizophilus de su gen de benen aldermeyst vor allen kruden. we syne benen wyl behol den de stote de blede myd melike vnde smere de benen stocke dar me de.  wede gryndich ys de stote de blede myd solte vnde smere syk dar mede in deme bade ock by de me vure.  den eyn beene edder eyn wespe yffte spinne stecket de legge tohant eyn blad der groten beenzugen dar vp.  welk vruwe der blomen thouole hefft de drinke dat sap myd solte vnde seyde dat krud in water myd etike vnde ne me den van nedden in. dat reyniget de vrowen ok inwendich wol wan se dat sap myd solte drinken der groten beenzugen sap reyniget de bosen sweren vnde lichtiget de suchtigen leden ifte men id dar ok vp stricket  wen eyn hunt ge betten heft de stote dat krud myd solte vnde legge dar vp.  weme de tene sweren de kauwe se vnde holde de blade lange in dem munde. weme de ogen schemeren de men ge ore sap myd honnige vnde salue de ogen dar mede secht plinius.
24.2,we dat krud vnde des sapes vucht edder droge by syk drecht dat ma ket one den luden behegelick vnde anneme vnde viende ouerwynnet he schrifft iorath.
25.1,balsaminte balsamita brun water mynte ros mynte. perdeminte is alto male eyn krud de vele luse heft de stote dat krut myd oldem swynen smere vnde salue syk vmme den hals vnde vnder synen armen so steruen se.  balsaminta alba wyt water mynte
26.1,bimynte cimynte kattenmyn te wyt garten mynte. bol derian tho latine menta alba. ed der nepita yffte calamentum maius is heyt vnde droghe.  wen eyneme mynschen dat kolde feuer angheyt. de bestricke seck dar me de myd warmen bom olye dar bi minte inne ghesoden is dat is gud stiatica ys swuls an de deghen dar legge vp grone ghestotte bymynten dat beydet de hud vnde dro ghet dat ghesuchte vnde dat vnge mack.  dat sap myd warmen wyne ghedrunken suuert der vr owen blomen.  dat sulue sap ge druncken ys gud weme de malatesche dat is de vnreyne suke erst gheworden ys iffte de elephancia van melancolien gheworden ys.
26.2,dat sulue sap gedrunken vordrift de spolworme.  dat sulue sap ge drunken in wyne vordryfft de vorgyftnisse vt dem lyue.  weme eyn ader effte slange steket de legge dat krut gestot dar vp dat tuth de vor ghifft dar vth  welck vrowe in arbeyde lyt myt eyneme kynde nut tet se dat krud se ghewinnet dat kynt.  we swarlicken athmet vn de hychet de nutte dat krud myd wyne  dat krud ghenuttet myd wyne is gud iegen dat siden ouel ok deme de in der leueren seyk is. dat sulue krud myd wyne ghestot ma ket swarte naren wyt de van wunden syn also eyn plaster dar vp gheleyt. dat krud myd wyne genut tet ys gud deme de eynen boszen maghen hefft.  der bymynten rocke vnde ok ore rock wurme se brant dath vordryfst de slanghen ock de slangadderen. bymynten myt polleyen glike vele wol in watere ghesoden vnde ghenuttet vordrift de hitte in dem sommer. vnde ys gud deme de nycht pissen kan. ok welke vrouwe de or blomen nicht wol enheft bymyten sap in de oren ghegoten dodet de worme dar ynne. we gerne mager were de drinke bymynten water dat ghe distilert ys dat ys ock gud iegen de kolden febres. we vele groues qual sters flecma vlotes in der borst heft de ette bymynten myd vygen ro vnde gebraden edder ghesoden so loset syk de flecma. qualster vnde de vlote efte flecma wol vth. we eynen bosen maghen heft vnde nich wol etten mach de nutte vakenn bymynten ro myt lakrissien noch teren edder ghekoket myd peter cilien als kolt dat ys gud. dyt sul ue ys ok gud den watersuchtigen vnde den de nycht wol pissen kun nen. we dat lenden ouel heft den kolk heft de make eyn plaster van bymynten myt warmen honnig water dar vp dat tuch de bosen materien vth der grunt. we gele edder swarte strimen edder varwe heft gehat de sede versche bymynte in wyne vnde legge warm dar vp dat ys gud. achtede del waters vnde de negende del honnyges myd bymynten ghepuluert vnde gheso den vnde dat warm ghedrunken maket den mynschen swetende dus se lesten ses artikele schrift auicen in secundo canone de anderen artikele dar van schriuen plinius macer diascorides
