,textstring
323,doncques dist pantagruel racomptez nous quel est vostre nom et dont vous venez.
324,car par ma foy ie vous ay ia pris en amour si grande que si vous condescendez a mon vouloir vous ne bougerez iamais de ma compaignie et vous et moy ferons ung nouveau per damytie telle que fut entre enee et achates.
325,seigneur dist le compaignon.
326,mon vray et propre nom de baptesme est panurge et a present viens de turcquie ou ie fuz mene prisonnier lors quon alla a metelin en la male heure.
327,et voulentiers vous racompteroys mes fortunes qui sont plus merveilleuses que celles de ulysses mais puisquil vous plaist me retenir avecques vous et que ie accepte voulentiers loffre protestant iamais ne vous laisser et allissiez vous a tous les diables nous aurons en autre temps plus commode assez loysir den racompter car pour ceste heure iay necessite bien urgente de repaistre dentz agues ventre vuyde gorge seiche tout y est delibere si me voulez mettre en œuvre ce sera basme de me veoir briber pour dieu donnez y ordre.
328,lors commanda pantagruel quon le menast en son logis et quon luy apportast force vivres.
329,ce que fut faict et mangea tresbien a ce soir et sen alla coucher en chappon et dormit iusques au lendemain heure de disner.
330,comment pantagruel equitablement iugea dune controverse merveilleusement obscure et difficile si iustement que son iugement fut dit plus admirable que celluy de salomon.
331,pantagruel bien records des lettres et admonitions de son pere voulut ung iour essayer son scavoir et de faict par tous les carrefours de la ville mist conclusions en nombre de sept cens soixante en tout scavoir touchant en ycelles les plus fors doubtes qui feussent en toutes sciences.
332,et premierement en la rue du feurre tint contre tous les regens artiens et orateurs et les mit tous de cul.
333,puis en sorbonne tint contre tous les theologiens par lespace de six sepmaines despuis le matin quatre heures iusques a six du soir exceptez deux heures de intervalle pour repaistre et prendre sa refection.
334,non pas quil engardast lesdictz theologiens sorbonicques de chopiner et se refraischir a leurs beuvettes acoustumees.
335,et a ce assisterent la plus part des seigneurs de la court maistres des requestes presidens conseilliers les gens des comptes secretaires advocatz et aultres ensemble les eschevins de ladicte ville avecques les medicins et canonistes.
336,et notez quil y en avoit qui prindrent bien le frain aux dentz mais nonobstant leurs ergotz et fallaces il les feit tous quinaulx et leur montra visiblement quilz nestoient que veaulx.
337,dont tout le monde commença a bruyre et parler de son scavoir si merveilleux quil ny avoit pas les bonnes femmes lavandieres courratieres roustissieres ganyvettieres et aultres que quand il passoit par les rues ne dissent cest luy a quoy il prenoit plaisir comme demosthenes prince des orateurs grecz faisoit quand de luy dist une vieille acropie en le monstrant au doigt cest celluy la.
338,or en ceste propre saison estoit ung proces pendant en la court entre deux gros seigneurs desquelz lung estoit monsieur de baisecul demandeur dune part laultre monsieur de humevesne defendeur de lautre.
339,desquelz la controverse estoit si haulte et difficile en droict que la court de parlement ny entendoit que le hault allemant.
340,dont par le commandement du roy furent assemblez quatre les plus scavans et les plus gras de tous les parlemens de france ensemble le grand conseil et tous les principaulx regens des universitez non seulement de france mais aussi dangleterre et italie comme jason philippe dece petrus de petronibus et ung tas daultres.
341,et ainsi assemblez par lespace de quarante et six sepmaines ny avoient sceu mordre ny entendre le cas au net pour le mettre en droict en façon quiconcques dont ilz estoient si despitz quilz se conchioient de honte villainement.
342,mais ung dentre eulx nomme du douhet le plus scavant le plus expert et prudent de tous les austres ung iour quilz estoient tous philogrobolisez de cerveau leur dist.
343,messieurs ia long temps a que sommes icy sans riens faire que despendre et ne povons trouver sons ny rime en ceste matiere et tant plus y estudions tant moins y entendons qui nous est une grand honte et charge de conscience et a mon advis nen sortirons que a deshonneur : car nous ne faisons que ravasser en noz consultations.
344,mais voicy que iay advise vous avez bien ouy parle de ce grand personnagge nomme maistre pantagruel lequel on a congneu estre scavant dessus la capacite du temps de maintenant es grandes disputations quil a tenues contre tous publicquement.
345,ie suis dopinion que nous le appellons et conferons de cest affaire avecques luy : car iamais homme nen viendra a bout si cestuy la nen vient.
346,a quoy voulentiers consentirent tous ces conseillers et docteurs : et de faict lenvoyerent querir sur lheure et le prierent vouloir ung peu veoir le proces et leur en faire le rapport tel que luy sembleroit en vraye science legale et luy livrerent les sacs et pantarques entre ses mains qui faisoient presque le fais de quatre gros asnes couillars.
347,mais pantagruel leur dist.
348,messeigneurs les deux seigneurs qui ont ce proces entre eulx sont ilz encore vivans?
349,a quoy luy fust respondu que ouy.
350,de quoy diable donc dist il servent tant de fatrasseries de papiers et copies que me baillez?
351,ne vault il pas beaucoup mieulx les ouyr de leur vive voix narrer leur debat que lire ces babouyneries icy qui ne sont que tromperies cautelles diabolicques de cepola et superstitions de droict?
352,car ie suis sceur que et vous et tous ceulx par les mains desquelz a passe le proces y avez machine ce que avez peu pro et contra et au cas que leur controverse estoit patente et facile a iuger vous lavez obscurcie par sottes et deraisonnables raisons et ineptes opinions de accurse balde bartole de castro de imola hippolytus panorme bertachin alexandre curtius et ces aultres vieulx mastins qui iamais nentendirent la moindre loy des pandectes : et nestoient que gros veaulx de disme ignorans de tout ce quest necessaire à lintelligence des loix.
353,car comme il est tout certain ilz navoient congnoissance de langue ny grecque ny latine mais seulement de gothicque et barbare.
354,et touteffois les loix sont premierement prinses des grecz comme vous avez le temoignage de ulpian l.
355,posteriori de orig.
356,juris.
357,et toutes les loix sont pleines de sentences et motz grecz : et secondement sont redigees en latin le plus elegant et aorne qui soit en toute la langue latine et nen excepte ny saluste ny varron ny ciceron ny pline ny senecque ny t.
358,live ny quintilian.
359,comment doncques eussent peu entendre ces vieux resveurs le texte des loix qui iamais ne virent bon livre de langue latine?
360,comme manifestement il appert a leur stille qui est stille de ramonneur de cheminee ou de cuysinier et marmiteux non de iurisconsulte.
361,davantaige veu que les loix sont extirpees du meillieu de philosophie morale et naturelle comment lentendront ces folz qui ont par dieu moins estudie en philosophie que ma mulle?
362,et au regard des lettres de humanite et de congnoissance des antiquitez et histoires ilz en estoient chargez comme ung crapault de plumes et en usent comme ung crucifix dun pifre dont touteffois les droictz sont tous plains et sans ce ne peuvent estre entenduz comme quelque iour ie monstreray plus appertement par escript.
363,par ce si voulez que ie congnoisse de ce proces premierement faictes moy brusler tous ces papiers et secondement faictes moy venir les deux gentilzhommes personnellement devant moy et quand ie les auray ouy ie vous en diray mon opinion sans fiction ny dissimulation quelconques.
364,a quoy aulcuns dentre eulx contredisoient comme vous scavez que en toutes compaignies il y a plus de folz que de saiges et la plus grande partie surmonte tousiours la meilleure.
365,mais ledict du douhet tint au contraire virilement contendent que pantagruel avoit bien dit que ces registres enquestes replicques duplicques reproches salvations et aultres telles diableries nestoient que subversions de droict et allongement de proces et que le diable les emporteroit trestous silz ne procedoient aultrement selon equite philosophicque et evangelicque.
366,somme tous les papiers furent bruslez et les deux gentilzhommes personnellement convoquez.
367,et lors pantagruel leur dist.
368,estes vous qui avez ce grand different entre vous deux?
369,ouy dirent ilz monsieur.
370,lequel de vous est demandeur?
371,cest moy dit le seigneur de baisecul.
372,or mon amy contez moy de poinct en poinct vostre affaire selon la verite : car par le corps dieu si vous en mentez dung mot ie vous osteray la teste de dessus les espaules et vous monstreray que en iustice et iugement lon ne doibt dire que la verite par ce donnez vous garde de adiouster ny diminuer au narre de vostre cas dictes.
373,donc commença en la maniere que sensuyt.
374,monsieur il est vray que une bonne femme de ma maison portoit vendre des œufz au marche.
375,couvrez vous baisecul dist pantagruel.
376,grand mercy monsieur dist le seigneur de baisecul.
377,mais a propos passoit entre les tropicques vers le zenith diametralement oppose es troglodytes par autant que les mons rhiphees avoient eu celle annee grande sterilite de happelourdes moyennant une sedition meue entre les barragouyns et les accoursiers pour la rebellion des souisses qui sestoient assemblez iusques au nombre de troys six neuf dix pour aller à laguillanneuf le premier trou de lan que lon donne la souppe aux bœufz et la clef du charbon aux filles pour donner lavoine aux chiens.
378,toute la nuyct lon ne feist la main sur le pot que despecher les bulles des postes a piedz et lacquays a cheval pour retenir les basteaux car les cousturiers vouloient faire des retaillons desrobez une sarbataine pour couvrir la mer oceane qui estoit grosse denfant selon lopinion des boteleurs de foin mais les physiciens disoient que a son urine ilz ne congnoissoient point signe evident au pas dostarde de manger des choux gelez a la moustarde sinon que messieurs de la court feissent par bemol commandement a la verolle de non plus alleboter apres les maignans ainsi se pourmener durant le service divin : car les marroufles avoient ia bon commencement a danser lestrindore au diapason ung pied au feu et la teste au meillieu comme disoit le bon ragot.
379,ha messieurs dieu modere tout a son plaisir et contre fortune la diverse ung chartier rompit son fouet ce fut au retour de la bicocque alors quon passa licentie maistre antithus des cressonnieres en toute lourderie comme disent les canonistes : beati lourdes quoniam trebuchaverunt.
380,mais ce que faict le caresme si hault par sainct fiacre de brye ce nest par aultre chose que la pentecoste ne vient foys quelle ne me couste : mais hay avant peu de pluye abat grand vent entendu que le sergeant ne mist pas si haut le blanc a la butte que le greffier ne sen leschast bas et roidde les doigtz empenez de iart et nous voyons manifestement que chascun sen prent au nez sinon quon regardast en perspective ocularement vers la cheminee a lendroit ou pend lenseigne du vin a quarante sangles qui sont necessaires a vingt bas a tout le moins qui ne vouldroit lascher loyseau devant que le decouvrir car la memoire souvent se pert quand on se chausse au rebours sa dieu guard de mal thibault mitaine.
381,alors dist pantagruel.
382,tout beau mon amy tout beau parlez a traict et sans cholere.
383,ientends le cas poursuyvez.
384,vrayement dist le seigneur de baisecul cest bien ce que lon dit quil faict bon adviser aulcunesfoys les gens car ung homme advise en vault deux.
385,or monsieur ladicte bonne femme disant les gaudez et audinos ne peult pas se couvrir dung revers faulx moniant sinon par bien soy bassiner anglicquement se couvrant dung sept de quarreaux et luy tirant ung estoc vollant au plus pres du lieu ou lon vent les vieulx drapeaux dont usent les painctres de flandres quand ilz veullent bien a droict ferrer les cigalles et mesbahys bien fort comment le monde ne pont veu quil faict si beau couver.
386,icy voulut interpeller et dire quelque chose le seigneur de humevesne dont luy dist pantagruel.
387,et ventre sainct antoine tappartient il de parler sans commandement?
388,ie sue icy de ahan pour entendre la procedure de vostre different et tu me viens encore tabuster?
389,paix de par le diable paix tu parleras ton sou quand cestuy cy aura acheva.
390,poursuyvez dist il a baisecul et ne vous hastez point.
391,voyant doncques dist baisecul que la pragmaticque sanction nen faisoit nulle mention et que le pape donnoit liberte a chascun de peter a son aise si les blanchetz nestoient rayes quelque pauvrete qui feust au monde pourveu quon ne se seignast de la main gauche la bonne femme se print a esculler les souppes par la foy des petis poissons couillatrys qui estoient pour lors necessaires a entendre la construction des vieilles bottes pourtant iehan le veau son cousin gervays remue dune busche de moulle luy conseilla quelle ne se mist point en ce hazard de laver la buee sans premier alluner le papier: a tant pille nade iocque foce car non de ponte vadit qui cum sapientia cadit attendu que messieurs des comptes ne convenoient pas bien en la sommation des fleuttes dallemant dont on avoit basty les lunettes des princes imprimees nouvellement a anvers.
392,et voyla messieurs que faict maulvais raport.
393,et en croy partie adverse en sa foy ou bien in sacer verbo dotis car voulant obtemperer au plaisir du roy ie me estoys armr de pied en cap dune carreleure de ventre pour aller veoir comment mes vendangeurs avoient dechicquete leurs haulx bonnetz pour mieulx iouer des manequins car le temps estoit quelque peu dangereux de la foire dont plusieurs francz archiers avoient este refusez a la monstre nonobstant que les cheminees feussent assez haultes selon la proportion du javart et des malandres lamy baudichon.
394,et par ce moyen fut grande annee de caquerolles en tout le pays de artoys qui ne fut pas petit amendement pour messieurs les porteurs de coustretz quand on mangeoit des coques cigrues a ventre deboutonne.
395,et a la mienne voulente que chascun eust aussi belle voix lon en iourroit beaucoup mieulx a la paulme et ces petites finesses quon faict a porter des pastins descendroient plus aisement en seine pour tousiours servir au pont aux meusniers comme iadis feut decrete par le roy de canarre que larrest en est au greffe de ceans.
396,par ce monsieur ie requiers que par vostre seigneurerie soit dit et declaire sur le cas ce que de raison avecques despens dommages et interetz.
397,lors dist pantagruel.
398,mon amy voulez vous plus riens dire.
399,respondit baisecul non monsieur : car ien ay dit tout le tu autem et nen ay riens varie sur mon honneur.
400,vous doncques dist pantagruel monsieur de humevesne dictes ce vouldrez et abreviez sans riens toutesfois laisser de ce que servira au propos.
401,lors commenca le seigneur de humevesne ainsi que sensuyt.
402,monsieur et messieurs si liniquite des hommes estoit aussi facilement veue en iugement comme on congnoit mousches en laict le monde ne seroit pas tant mange de ratz comme il est et y auroit des aureilles maintes sur terre qui en ont este rongees trop laschement.
403,car combien que tout ce que a dit partie adverse soit bien vray quant a la lettre et lhistoire du factum toutesfoys messieurs la finesse la tricherie les petitz hanicrochemens sont cachez soubz le pot aux roses.
404,doibs ie endurer que a lheure que ie mange ma souppe sans mal penser ny mal dire lon me vieigne ratisser et tabuster le cerveau et me sonner lantiquaille disant qui boit en mangeant sa souppe quand il est mort il ne voit goutte.
405,et saincte dame combien avons nous veu de gros capitaines en plain camp de batailles alors quon donnoit les horions benist de la confrarie pour plus honestement se asseoir a table iouer du luc sonner du cul et faire les petits faulx en plate forme sur beaulx escarpins deschiquettez a barbe descrevisse?
406,mais maintenant le monde est tout detrave de louschetz des balles de lucestre : lung se desbauche laultre se cache le muzeau pour les froidures hyvernales et si la court ny donne ordre il fera aussi mal glener ceste annee quil feist ou bien fera de troys sepmaines.
407,si une pauvre personne sen va aux estuves pour se faire enluminer le muzeau de bouzes de vaches ou achepter bottes de hyver et les sergeans passans ou bien ceux du guet recevant la decoction dun clystere ou la matiere fecale dune celle persee sur les tintamarres en doibt lon pourtant rongner les testons et fricasser les escuz elles de boys aulcune foys nous pensons lung mais dieu faict laultre : et quand le soleil est couche toutes bestes sont a lumbre ie ne veulx pas estre creu si ie ne le prouve hugrement par gens dignes de memoire.
408,lan trente et six iavoys achapte ung courtault dallemaigne hault et court dassez bonne laine et tainct en grene comme me asseuroient les orfeuvres toutesfoys le notaire y mist du cetera.
409,ie ne suis pas clerc pour prendre la lune a tous les dentz mais au point de beurre ou lon selloit les instruments vulcanicques le bruyt estoit que le bœuf sale faisoit trouver le vin en plain minuyct sans chandelle et feust il cache au fond dung sac de charbonnier housse et barde avecques le chanfrein et hoguines requises a bien fricasser rustrye cest teste de mouton et cest bien ce quon dit en proverbe quil fait bon veoir vaches noires en boys brusle quand on iouyt de ses amours.
410,ien fis consulter la matiere a messieurs les clercs et pour resolution concluoient en frisesemorum quil nest tel que de faucher en este en cave bien garnie de papier et dencre et de plumes et de ganyvet de lyon sur le rosne tarabin tarabas : car incontinent que ung harnoys sent les aulx la rouille luy mangeve le foye et puis lon ne faict que rebecquer torty colli fleuretant le dormir dapres disner et voila qui faict le sel tant cher.
411,messieurs ne croyez pas que au temps que ladicte bonne femme englua la pochecuilliere pour le record du sergeant mieulx apanaiger et que la fressure boudinalle tergiversa par les bourses des usuriers il y eust rien meilleur a soy garder des caniballes que prendre une liasse doignons liee de troys cens avez mariatz et quelque peu dune fraize de veau du meilleur alloy que ayent les alkymistes et bien luter et calciner les pantoufles mouflin mouflart avecques belle saulce de raballe et soy mucer en quelque petit trou de taulpe saulvant tousiours les lardons.
412,et si le dez ne vous veult aultrement dire que tousiours ambezars ternes six et troys guare daz mettez la dame au coing du lict avecques la toureloula lala et vivez en souffrance et me peschez force grenoilles a tout beaulx houzeaulx ce sera pour les petitz oysons de mue qui sesbatent au ieu de foucquet attendant battre le metal et chauffer la cyre aux bavars de godale.
413,bien vray est il que les quatre bœufz esquelz il est question avoient quelque peu la memoire courte toutesfoys pour scavoir la game ilz nen craignoient courmaran ny quanard de savoye et les bonnes gens de ma terre en avoyent bonne esperance disans ces enfans deviendront grans en algoritme ce nous sera une rubricque de droict nous ne povons faillir a prendre le loup en faisant nos hayes dessus le moulin a vent duquel a este parle par partie adverse.
414,mais le diable y eut envie et mit les allemans par le derriere qui firent diables de humer tringue tringue das ist cotz frelorum bigot paupera guerra fuit.
415,et mesbahys bien fort comment les astrologues sen empeschent tant en leurs astrolabes et almucantarath.
416,car il ny a nulle apparence de dire que a paris sur petit pont fut geline de feurre et feussent ilz aussi huppez que duppes de marays sinon vrayement quon scarifiast les pompettes au morets fraichement esmoulu de lettres versalles ou cursives ce mest tout ung pourveu que la tranchefille ny engendre point de vers.
417,et pose le cas que au comblement des chiens courans les marmouzelles eussent comme prinse devant que le notaire eut baille la relation par art cabalisticque il ne sensuyt pas saulve meilleur iugement de la court que six arpens de pre a la grand laize feissent troys bottes de fine ancre sans souffler au bassin considere que aux funerailles du roy charles lon avoit en plain marche la toyson pour six blancs ientends par mon serment de laine.
418,et ie voys ordinairement en toutes bonnes maisons que quand lon va a la pippee faisant troys tours de balail par la cheminee et insinuant sa nomination lon ne faict que bander aux rains et souffler au cul si davanture il est trop chault et quil luy baille incontinent les lettres veues les vaches luy furent rendues.
419,et en fut donne pareil arrest a la martingalle lan dix et sept pour le maulgouvert de louze foigerouse a quoy il plaira a la court davoir esguard.
420,ie ne dis pas vrayement quon ne puisse par equite deposseder en iuste titre ceulx qui de leau beniste beuvroient comme on faict dun rancon de tisserant dont on faict les suppositoires a ceulx qui ne veulent resigner sinon a beau ieu bel argent.
421,car lusance commune de la loy salicque est telle que le premier boutefeu qui escornifle la vache qui mousche en plain chant de musicque sans solfier les poinctz des salvatiers doibt en temps de peste charger son pauvre membre de mousse cueillie alors quon se morfond a la messe de minuyct pour bailler lestrapade a ces vins blancs daniou qui font la iambette collet a collet a la mode de bretaigne.
422,concluant comme dessus avecques despens dommaiges et interetz.
423,apres que le seigneur de humevesne eut acheve pantagruel dist au seigneur de baisecul.
424,mon amy voulez vous plus riens replicquer?
425,a quoy respondit baisecul.
426,non monsieur : car ie nen ay dit que la verite et pour dieu donnez fin a nostre different car nous ne sommes pas icy sans grand frais.
427,alors pantagruel se leve et assemble tous les presidens conseillers et docteurs la assistans et leur dist.
428,or ca messieurs vous avez ouy vive vocis oraculo le different dont il est question que vous en semble?
429,a quoy respondirent.
430,nous lavons veritablement ouy mais nous ny avons entendu au diable la cause.
431,par ce nous vous prions una voce et supplions par grace que veuillez donner la sentence telle que verrez et ex nunc pro ut ex tunc nous avons aggreable et ratifions de noz plains consentemens.
432,et bien messieurs dist pantagruel puisquil vous plaist ie le feray mais ie ne trouve pas le cas tant difficile que vous le faictes.
433,vostre paraphe caton la loy frater la loy gallus la loy quinque pedum la loy vinum la loy si dominus la loy mater la loy mulier bona la loy si quis la loy pomponius la loy fundi la loy exemptor la loy pretor la loy venditor et tant daultres sont bien plus difficiles en mon opinion.
434,et apres ce dict il se pourmena ung tour ou deux de sale pensant bien profondement comme lon povoit estimer car il ieignoit dangustie et petoit dahan comme ung asne que lon sangle trop fort pendant quil failloit a ung chascun faire droict sans varier ny accepter personne puis se retourna asseoir et commença prononcer la sentence comme sensuyt.
435,veu entendu et bien calcule le different dentre les seigneurs de baisecul et humevesne la court leur dit que consydere que le soleil decline bravement de son solstice estival pour mugueter les bille vesees qui ont eu mat du pyon par les males vexations des lucifuges nycticoraces qui sont inquilines du climat diaromes dung crucifix a cheval bandant une arbeleste aux reins le demandeur eut iuste cause de calfreter le gallion que la bonne femme boursouffloit ung pied chausse et laultre nud le remboursant bas et roidde en sa conscience dautant de baguenaudes comme il y a de poil en dix huyt vaches et autant pour le brodeur.
436,semblablement est declaire innoncent du cas de crime quon pensoit quil y eut encouru de ce quil ne povoit baudement fiancer par la decision dune paire de gands parfumez a la chandelle de noix comme on use en son pays de myrebalois laschant la bouline avecques les boulletz de bronze dont les housse pailliers pastissoient conestablement les legumaiges interbastez du loyrre a tout les sonnettes desparvier faictes a poinct de hongrie que son beaufrere portoit memoriallement en ung penier limitrophe brode de gueulles a troys chevrons hallebrenez de canabasserie au caignard angulaire dont on tire au papegay vermiforme avecques la vitempenarde.
437,mais en ce quil met sus au defendeur quil fut rataconneur tyrofageux et goildronneur de mommye que na este trouve estre vray comme bien la debastu ledict defendeur la court le condemne en troys verrassees de caillebottes assimentez prerorelitantes et gaudepisees comme est la coustume du pays envers ledict defendeur payables a la my oust en may mais ledict defendeur sera tenu de fournir de foin et destoupes a lembouschement des chaussetrapes gutturales emburelucocquees de guilvardons bien grabelez a rouelle et amys comme devant et sans despens et pour cause.
438,laquelle sentence prononcee les deux parties sen allerent toutes deux contentes de larrest qui fut quasi chose incroyable et au regard des conseillers et aultres docteurs qui la assistoient ilz demourerent en ecstase bien troys heures et tous ravys en admiration de la prudence de pantagruel plus que humaine quilz avoient congneu clerement en la decision de ce iugement tant difficile et espineux.
439,et y feussent encores sinon quon apporta force vinaigre et eaue rose pour leur faire revenir le sens et entendement acoustume dont dieu soit loue partout.
440,comment panurge racompte la maniere quil eschappa de la main des turcqs.
441,le iugement de pantagruel fut incontinent sceu et entendu de tout le monde et imprime a force et redige es archives du palays en sorte que tout le monde commenca a dire salomon qui rendit par soubson lenfant a sa mere iamais ne monstra tel chef dœuvre de prudence comme a faict ce bon pantagruel nous sommes heureux de lavoir en ce pays.
442,et de faict lon le voulut faire maistre des resquestes et president en la court : mais il refusa tout les remerciant gracieusement car il y a dist il trop grand servitude a ces offices et a trop grand peine peuvent estre saulvez ceulx qui les exercent veu la corruption des hommes.
443,mais si avez quelque bon poinsson de vin voulentiers ien recepvray le present.
444,ce quilz firent voulentiers et luy envoyerent du meilleur de la ville et beut assez bien.
445,mais le pouvre panurge en beut vaillament car il estoit exime comme ung harang soret.
446,aussi alloit il du pied comme ung chat maigre.
447,et quelquung ladmonesta en disnant disant.
448,compere tout beau vous faictes rage de humer.
449,par saint thibault dist il tu dys vray et si ie montasse aussi bien comme ie avalle ie feusse desia au dessus de la sphere de la lune avecques empedocles.
450,mais ie ne scay que diable cecy veult dire ce vin est fort bon et bien delicieux mais tant plus bien ien boy tant plus iay soif.
451,ie croy que lumbre de monseigneur pantagruel engendre les alterez comme la lune faict les catarrhes.
452,a quoy se prindrent a rire les assistans.
453,ce que voyant pantagruel dist.
454,panurge quest ce que avez a rire.
455,seigneur dist il ie leur contoys comment ces diables de turcqs sont bien malheureux de ne boire point de vin.
456,si aultre mal ny avoit en lalchoran de mahumet encores ne me mettroys ie pas de la foy.
457,mais or me dictes comment dist pantagruel vous eschappates de leurs mains?
458,par dieu seigneur dist panurge ie ne vous en mentiray de mot.
459,les paillards turcqs mes avoient mys en broche tout larde comme ung connil pour me faire roustir tout vif.
460,et ainsi comme ilz me roustissoient ie me recommandoys a la grace divine ayant en memoire le bon sainct laurent et tousiours esperoys en dieu quil me delivreroit de ce torment ce qui fut faict bien estrangement.
461,car ainsi que me recommandoys bien de bon cueur a dieu cryant.
462,seigneur dieu ayde moy.
463,seigneur dieu saulve moy.
464,saigneur dieu oste moy de ce torment auquel ces traitres chiens me detiennent pour la maintenance de ta foy.
465,le roustisseur sendormyt par le vouloir divin ou bien de quelque bon mercure qui endormit cautement argus qui avoit cent yeulx.
466,or quand ie vy quil ne me tournoit plus en routissant ie le regarde et voy quil sendort ainsi ie prens avecques les dens ung tyson par le bout ou il nestoit point brusle et vous le gette au gyron de mon routisseur et ung aultre le gette le mieulx que ie peuz soubz un lict de camp qui estoit aupres de la cheminee ou y il avoit force paille.
467,incontinent le feu se print a la paille et de la paille au lict et du lict au solies qui estoit embrunche de sapin faict a quehues de lampes.
468,mais bon fut que le feu que ie avoys gette au gyron de mon paillard routisseur luy brusla tout le penil et se prenoit aux couillons sinon quil nestoit point tant punays quil ne le sentit plus tost que le iour et debouq estourdy se levant crya a la fenestre tant quil peult dal baroth dal baroth qui vault autant a dire comme au feu au feu : et vint droict a moy pour me getter du tout au feu et desia avoyt couppe les cordes dont on mavoit lye les mains et il couppoit les lyens des pieds mais le maistre de la maison ouyant le cry du feu et en sentant la fumee de la rue ou il se pourmenoit avecques quelques aultres baschatz et musaffiz courut tant quil peult y donner secours et pour emporter ses bagues.
469,et de pleine arrivee il tyre la broche ou iestoys embroche et tua tout roidde mon routisseur dont il mourut la par faulte de gouvernement ou aultrement : car il luy passa la broche ung peu au dessus du nombril vers le flan droict et luy percea la tierce lobe du foy et le coup haussant luy penetra le diaphragme et par atravers la capsule du cueur luy sortit la broche par le hault des espaules entre les spondyles et lomoplate senestre.
470,vray est que en tirant la broche de mon corps ie tumbe a terre pres des landiers et me fys ung peu de mal a la cheute toutesfoys non pas grand : car les lardons soustindrent le coup.
471,puis voyant mon baschaz que le cas estoit desespere et que la maison estoit bruslee sans remission et tout son bien perdu se donna a tous les diables appelant grilgoth astaroth et rapallus par neuf foys.
472,quoy voyant ieuz de peur pour plus de cinq solz craignant les diables viendront a ceste heure pour emporter ce fol icy seroient ilz bien gens pour memporter aussi?
473,ie suis ia demy rousty mes lardons seront cause de mon mal : car ces diables icy sont fryans de lardons comme vous avez lauctorite du philosophe iamblicque et murmault en lapologie de bossutis et contrefactis per magistros nostros mais ie fys le signe de la croix cryant agyos athanatos ho theos et nul ne venoit.
474,ce que congnoissant mon villain baschaz se vouloit tuer de ma broche et sen percer le cueur : et de faict la mist contre sa poitrine mais elle ne povoit oultre passer car elle nestoys pas assez ague et poussoit tant quil povoit mais ne proffitoit riens.
475,alors ie men vins a luy disant.
476,missaire bougrino tu pers icy ton temps : car tu ne te tueras iamais ainsi mais bien te blesseras quelque hurte dont tu languiras toute ta vie entre les mains des barbiers : mais si tu veulx ie te tueray icy tout franc en sorte que tu nen sentiras rien et men croys : car ien ay tue bien daultres qui sen sont bien trouvez.
477,ha mon amy dist il ie ten prie et ce faisant ie te donne ma bougette tien voyla il y a six cens seraph dedans et quelques dyamens et rubys en perfection.
478,et ou sont ilz?
479,dist epistemon.
480,par sainct iehan dist panurge ilz sont bien loin silz sont tousiours.
481,acheve dist pantagruel ie te pry que nous saichons comment tu acoustras ton baschaz.
482,foy dhomme de bien dist panurge ie nen mens de mot.
483,ie le bende dune meschante braye que ie trouve la demy bruslee et vous le lye rustrement pieds et mains de mes cordes si bien quil neust sceu regimber : puis luy passe ma broche a travers la gargamelle et aussi le pendys acrochant la broche a deux gros crampons qui soustenoient des alebardes.
484,et vous atise ung beau feu au dessoubz et vous flamboys mon milourt comme on faict des harans soretz a la cheminee puis prenant sa bougette et ung petit iavelot qui estoit sur les crampons men fuys le beau galot.
485,et dieu scait comme ie sentoys mon espaule de mouton.
486,quand ie fuz descendu en la rue ie trouvay tout le monde qui estoit acouru au feu a force deau pour lestaindre.
487,et me voyans ainsi a demy rousti eurent pitie de moy naturellement et me getterent toute leur eau sur moy et me refraischirent ioyeusement ce que me feist fort grand bien puis me donnerent quelque peu a repaistre mais ie ne mangeoys gueres : car ilz ne me bailloient que de leau a boire a leur mode.
488,et aultre mal ne me firent.
489,sinon ung villain petit turcq boſſu par devant qui furtivement me crocquoyt mes lardons mais ie luy baillys si vert dronos sur les doigs a tout mon iavelot quil ny retourna pas deux fois.
490,et une ieune tudesque qui mavoit aporte ung pot de mirobalans emblicz confictz a leur mode laquelle regardoit mon pouvre haire esmouchete comment il sestoit retire au feu : car il ne me alloit plus que iusques sur les genoulx.
491,or ce pendant quilz se amusoient a moy le feu triumphoit ne demandez pas comment a prendre en plus de deux mille maisons tant que quelquung dentre eulx lavisa & sescrya disant.
492,ventre mahom toute la ville brusle & nous amusons icy.
493,ainsy chascun sen va a sa chascuniere.
494,de moy ie prens mon chemin vers la porte.
495,et quand ie fuz sur un petit tucquet qui est aupres ie me retourne arriere comme la femme de loth & vys toute la ville bruslant comme sodome & gomorre dont ie fuz tant ayse que ie me cuyde conchier de ioye mais dieu men punit bien.
496,comment?
497,dit pantagruel.
498,ainsi que ie regardoys en grand liesse ce beau feu & me gabelant & disant.
499,ha pauvres pusses ha pauvres souritz vous aurez mauvais hyver le feu est en vostre paillier sortirent plus de six cens chiens gros & menutz tous ensemble de la ville fuyans le feu.
500,et de premiere venue accoururent droict a moy sentant lodeur de ma paillarde chair a demy roustie & me eussent devore a lheure si mon bon ange ne meust point inspire.
501,et que fys tu pouvret?
502,dist pantagruel.
503,soubdain ie me advise de mes lardons & les leur gettoys au meillieu dentre eulx & chiens daller & se entrebattre lung laultre a belles dentz a qui auroit le lardon.
504,par ce moyen me laisserent & ie les laisse aussi se pelaudant lung laultre & ainsi eschappe gaillard & dehayt.
505,comment panurge enseigne une maniere bien nouvelle de bastir les murailles de paris.
