folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
39,r,2,"c^c,8,a,m","4,o,N,a,m","o,8,a,x","c^c,o,x","M,cc,c,8,9","8,a,i,2,o,Q","cc,c,N,c,9","2,a,m","cc,c,P1,cc,9","o,N,a,Q"
39,r,3,"9,N,8,9","8,a,Z","4,o,N,a,x","cc,o,x,N,a,x","o,M,c,o,x","o,P1,cc,c,c,P1,a,Z","a,m","a,8,o,Z","?,Z","8,x,8"
39,v,1,"c^c,o,8,9","a,x,9","o,Z","c,N,c,o,P1,cc,9","cc,o","4,o,9,N,a,Q","c^c,o,Z","o,N,cc,c,9","x,N,c,8,9","o,P2,cc,9"
39,v,2,"cc,o,x,o,8,9","o,N,a,m","a,m","M,a,Z","8,a,m+,9","o,N,a,m","x,cc,8,9","o,N,c,8,9","o,M,c,8,9","?,N,c,c,8,9"
40,r,1,"9,cc,c,c,9","o,N,9","cc,c,N,a,m","9,a,m","o,Z,a,m","N,a,Z","cc,8,9","4,o,N,a,Q","o,x,c^c,c,8,9","c^c,o,N,o,Z,a,Q"
40,r,2,"8,a,x","o,Z,9","9,N,a,m","M,o,a,Z","o,8,9","o,N,a,i,Z","9,N,c,8,9","o,N,9","N,a,Z,a,Z","9,cc,c,9"
40,v,1,"o,N,a,m","8,a,m","9,cc,c,c,N,c,c,9","?,c,M,c,9","8,a,x,o,Z","cc,c,8,9","4,o,N,o,x","2,cc,c,8,9","o,Z,a,m","4,o,N,a,m"
40,v,2,"a,Z,o,8,9","o,P1,a,i,Z","cc,c,M,a,Z","P2,cc,c,8,9","o,N,a,Z,9","4,o,N,c,9","a,Z,o,x","o,N,a,n","o,N,a,x","cc,c,N,c,9"
41,r,1,"8,a,x,a,n","8,cc,c,8,9","M,c,c,8,9","8,cc,c,8,9","N,cc,8,9","9,M,c,c,8,9","2,a,x","4,o,M,cc,9","8,a,Q","o,M,a,x"
41,r,2,"cc,c,N,c,Q","cc,c,N,c,c,8,9","9,N,c,c,8,9","9,N,c,o,8","4,o,N,c,Q","4,?,?,8,9","4,o,N,c,c,8,9","9,N,c,8,9","8,cc,8,a,x,8,9","4,c,N,cc,8,9"
41,v,1,"o,N,c,c,9","cc,c,8,9","x,N,o,x","o,x,N,c,c,o","8,a,m","o,x,9","o,N,c,o,8,9","9,N,c,o,a,m","cc,8,a,x","c,N,c,8,9"
42,r,1,"cc,a,Z","8,o,Z,a,n","N,a,Z,9","cc,9","cc,o,M,o,Z","cc,o,c,N,c,9","4,o,N,a,Z","c,M,c,a,m","8,a,Z","cc,o,M,a,i,Z"
42,r,2,"8,o,8,a,m","o,M,c^c,c,9","P2,cc,o,8,9","8,a,Q","8,a,m","cc,o,8,a,m","cc,8,a,n","cc,o,M,9","N,c^c,c,9","c^c,o"
42,r,3,"N,o,x,2,cc,c,c,2","c^c,o,x","o,N,cc,o,x","cc,a,m","cc,o,Z,o,3","c,N,c,a,m","cc,o,Z","N,cc,a,m","o,8,a,i","c^o,2"
42,v,1,"2,a,m","2,o,8,a,x","cc,c,N,c,c,2,c^c,9","N,c,c,c,9,8","c^c,c,o,N,c,9","cc,o,N","8,a,Q","c,M,c,a,Z","2,a,m","2,9"
42,v,2,"o,8,c,c,9","o,N,o,Z","o,N,c,9","cc,o,x","cc,o,N,c,9","a,?,a,x","2,a,Z,a,Z","cc,o,x,9","c,M,c^c,c,2","c,M,c,9"
43,r,1,"cc,c,o,x,N,cc,P2,cc,9","cc,c,o,8,9","8,a,x,9","cc,c,8,9","N,cc,c,8,9","9,M,a,Q","o,M,a,n","8,a,Q","cc,o,c,M,cc,9","8,a,Z"
43,r,2,"o,8,a,n","cc,c,c,9","8,o,Z","4,o,M,c,8,9","8,c^c,c,8,9","o,x,8","a,M,a,m","9,N,o,x,a,Z","c^c,9","8,a,n"
43,r,3,"cc,o,N,o,Z,a,m","cc,c,N,cc,9","o,8,a,n","cc,o,M,c,c,9","cc,c,c,N,c,9","9,N,c,o,8,9","8,9","9,N,c,8,9","cc,c,N,c,9","c^c,o,cc,o,x"
43,v,1,"cc,M,c,9","cc,c,M,c,8,9","o,M,c,8,o,x","o,Z,a,x,o,8,9","4,o,N,cc,c,8,9","o,N,a,Q","cc,c,c,N,c,9","4,o,N,a,Z","cc,c,9","4,o,c,M,c,c,8,9"
43,v,2,"o,c,N,c,9","a,m","o,x,o,2","9,M,cc,8,9","cc,c,P2","9,N,a,Z","c^c,c,o,8,9","8,a,m","cc,o,8,9","cc,c,8,9"
43,v,3,"cc,c,9","4,o,N,9","o,M,c,o,2","o,x,o,a,m","a,m","c,c,c,2","o,x","M,a,Z,o,2","8,a,Z,9","N,o,x"
44,r,1,"8,a,Q","cc,o,8,9","9,N,cc,9","9,N,cc,c,9","9,cc,o,Z","o,M,o,M,a,9,N,a,x","8,a,m","o,M,a,x","N,c^c,o,M,o,x","c,N,o,N,c,c,9"
44,r,2,"cc,o,Q","9,M,9",9,"4,o,M,c^c,9","c^c,o,x","o,4,8","4,o,M,c,2","8,a,Z","o,M,cc,9","4,o,M,cc,9"
44,r,3,"o,N,cc,o,8,9","4,o,c,N,c,9","9,M,c^c,o","8,a,Q","cc,o,x","cc,o,N,9","cc,o,N,9","9,N,o,x","4,o,M,o","o,N,cc,9"
44,v,1,"c,M,c,9","c,M,c,9","8,a,m","o,M,o,x","c^c,c,M,c,9","o,N,cc,o,Z","M,o,x","4,o,M,o,Z,a,Z","c^c,o,x","8,a,m"
44,v,2,"o,x,o,x,9","cc,c,o,x","8,9","c,M,c,o,x","M,cc,a,m","o,N,o","8,9","9,M,a,m","o,M,cc,o,x","o,M,9,N,c,c,9"
44,v,3,"8,a,i,Z,x","c^c,a,Z","x,cc,o,Z","c,M,c,o,x","c,M,c,o","c,M,c,9","cc,c,M,c,9","cc,a,m","M,c,o,x","9,cc,c,9"
45,r,1,"cc,a,Q","9,N,c,o,x","9,N,c,o,x","N,a,m","x,o,Z,9","c,M,c,o,Q","9,N,c,c,9","cc,a,m","c,M,c,9","4,o,a,m"
45,r,2,"8,a,Z","N,a,Z",8,"4,o,Z","x,cc,a,Z","8,a,Z,9","8,a,x","o,M,a,Z","M,cc,o,x,o,x","9,M,cc,o,8,9"
45,r,3,"8,a,x,8,a,m","x,a,x,8,a,i","o,N,cc,o","o,N,a,m",x,"8,9","N,o,x","4,o,M,cc,o,x","9,M,a,m","9,N,o,x,o,8,9"
45,v,1,"c^c,9","8,a,i,Z","8,a,i,x","8,a,n","4,o,c,N,c,9","o,N,cc,9","9,N,a,Z,9,8",8,"c,M,c,o","N,9"
45,v,2,"9,M,cc,o,Q","o,M,9,o,x","8,c^c,9","N,cc,o,x","M,cc,M,cc,o","cc,c,Q","8,9","8,9","9,M,cc,8,9","M,o,8"
45,v,3,"8,cc,o,x,8,9","8,o,m","8,M,cc,9","cc,o,Z","o,Z","9,M,cc,o,Z,8","M,c^c,o,x,o,x","o,N,9","o,M,c^c,9","8,c^c,o,Z"
46,r,1,"cc,c,a,Z","9,M,c,9","9,M,c,8,9","4,o,M,c^c,c,o,8","c^c,N,9","cc,8,9","c^c,c,8,9","9,N,c,9","c^c,c,N,c,c,9","o,N,c,c,8,9"
46,r,2,"cc,c,9","cc,c,o,2",2,"c,M,c,8,9","cc,o,8,9","cc,N,9","c^c,8,9","c^c,9","cc,c,N,c,9","cc,9"
46,r,3,"c^c,c,o,x","o,x,a,n,Z","?,x,o,x,8,9","c^c,8,9","4,o,N,8,9","cc,8","cc,N,a,x","c^c,9","M,cc,c,9","8,a,Z,8,a,Q"
46,r,4,"o,x,N,c,o,8,9","c^c,o,x,N,a,x","4,o,N,a,Z","4,o,N,a,Q","cc,8,a,Q","8,a,Q","o,N,a,x","cc,c,o,x","4,o,N,a,Z","c^c,o,x,N,c^c,9"
46,v,1,"cc,c,8,9","x,cc,c,8,9","cc,c,8","8,a,Q","cc,c,c,N,9","8,c,c,c,8,9",Q,"c,M,cc,9","cc,o,8,9","8,a,i,Z"
46,v,2,"cc,c,8,9","9,N,a,Z","cc,8,a,Q","cc,c,M,c,9","cc,8,a,Q","a,x,9","8,a,i,Z","8,a,Q","o,M,9","cc,o,c,P2,c,c,o,8"
47,r,1,"cc,o,N,o,x,Q","c^c,c,9","o,x","8,a,n","N,cc,8,a,x","8,a,m","cc,o,x","cc,o,N,a,n","c,M,c,c,9","4,o,N,cc,c,o"
47,r,2,9,"8,a,m","8,a,m","c,P2,c,9","8,c^c,o","8,a,Q","8,a,n","M,cc,o,x","o,M,cc,9","cc,c,9"
47,v,1,"cc,o,x","8,o,cc,o,8","2,a,m","cc,c,o,Z","cc,o,8,9","2,a,Z,9","2,9","c^c,9","o,8,9","cc,o,Z"
47,v,2,"c,M,cc,c,9","cc,o,x","o,M,a,x,8","8,cc,c,c,9","cc,a,m","cc,o,x,c,M,9","8,a,m","8,c^c,9","8,a,m","cc,o,cc,9"
48,r,1,"o,N,c,o,a,Q","o,x,N,c,9","a,Z","9,M,?,cc,c,8","8,a,Q,8,Z","9,N,c,c,9","o,M,c,o,x,9","o,M,c,o,x","c^c,o,x","o,M,cc,8,a,n"
48,v,1,"a,Q","cc,c,8,9","9,M,a,Z","o,N","o,M,a,x","a,n","o,Z","o,x","o,M,c,c,2","o,Z"
48,v,2,"2,a,Z,9","cc,c,c,8,x,2","o,Z","9,M,a,Q","9,N,a,x","cc,c,N,c,9","9,N,c,c,8,a,x","o,N,a,Z,a,Z,a,Z,9","c,M,c,c,9","9,M,cc,c,8,a,x"
49,r,1,"cc,c,o,Z,a,m","8,o,Z","8,a,m","8,cc,o,Z","8,cc,o,Z","8,c^c,o","8,a,m","8,o,Z","4,ô","4,o,P2,cc,a,Z"
49,r,2,"8,cc,o,x","cc,o,M,cc,c,o,x","c^c,9","c^c,o,Z","c^c,o,Z","cc,o,m",Z,"c^c,o","cc,o,Z,o,m","N,c^c,c,9"
49,r,3,"cc,o,x","c,M,9","cc,o,Z","o,8,cc,9","o,Z,m","cc,2","cc,o,c^c,9","cc,o","cc,o,8,2","4,o,M,cc,o"
49,v,1,"8,a,m","cc,o,x","N,cc,o,2","o,M,o,x","cc,o,N,c,c,o,8,9","4,o,N,c,o,x",<,"cc,o,N,a,Q","8,a,n","8,a,m"
49,v,2,"cc,o,M,9","c^c,c,o","o,a,m","c^c,o,cc,o",o,"8,cc,o,Q","8,cc,o","o,M,cc,o,8,a,Z","Z,cc,c,c,9","cc,o,N,c,c,o,8,o,x"
49,v,3,"8,a,m","cc,c,c,9",Z,"9,N,cc,o,N,c,o","cc,o,N,o,Z,a,i","cc,o,N,c,c,o,N,9","cc,N,a,x,cc,9","cc,o,Z","cc,o,x",N
50,r,1,"cc,N,9","8,a,Z,i,o","cc,c,N,c,9","o,P2,a,x,N,c","2,o,x,N,a,m","a,x,o,2,a,Q","a,x,8","4,o,N,a,n","N,a,m","9,N,c,c,9"
50,v,1,"N,cc,8,9","9,N,cc,9","N,a,Z","x,cc,c,9","a,Z,a,8","a,Z","9,N,c,c,o,8","o,x,o,c,c,8,9","o,x,cc,8,9","o,N,a,m"
51,r,1,"o,M,a,x","a,x,8,9","o,Z",2,"c,N,c,a,x","cc,c,o,Z","4,o,N,o,x","8,a,Q","a,x",2
51,v,1,"cc,c,o,8,a,n","cc,c,o,x","8,a,m","c,N,c,9","cc,o","8,a,m","a,cc,o,c,N,c,9","cc,c,9","9,N,c,c,9","c^c,c,c,9"
52,r,1,"8,a,m","8,cc,a,Q","cc,c,c,9",2,"N,a,Q","c^c,c,9","8,o,Z","cc,c,c,9","o,Z","a,Q"
52,v,1,"N,cc,o,x,9","o,M,9","c,M,c,o,Z","o,M,9","c,M,c,o,Z","4,o,M,o,8,a,m","2,a,Z,Q","8,9","c,P2,c,c,o,8,a,Z","cc,c,o,Z"
52,v,2,"c,N,c,c,c,9","cc,c,o,N,o,Z","o,8,a,Z","8,a,n,Q","c,N,c,c,c,c,9","o,N,a,m+","9,N,a,Z","c,N,c,9","9,N,cc,o,8,9","c,N,c,o,x"
53,r,1,"4,o,M,9","cc,o,8","o,Z,o,x","o,2","c,M,c,c,c,c,2","cc,o,x","o,M,o,x","o,9,M,o,9,8","9,N,c,c,o,8","c,M,o"
53,v,1,"o,M,o,x,8,9","9,c,N,c,o,8,a,m","o,8,a,Q","o,N,9,N,o,8,9","N,cc,9","9,cc,c,c,9","cc,N,o,8,a,x","c^c,c,o,8","cc,c,a,Z","o,Z"
54,r,1,"cc,o,N,c,9","o,N,c,o,8,a,n",c^c,"2,a,Z","c,M,c,c,o,M,a,x","cc,c,9",Z,"cc,o,Q","N,o,x","c^c,o,N,cc,9"
54,r,2,"x,8,a,Q",o,"cc,o,c,N,a,i,Z","8,o,x","a,x","a,m",o,"c^c,o,8,a,x","9,o,Z","8,a,Q"
54,v,1,"o,x,8,a,m","cc,o,x","8,a,m","cc,o,8,o,x,8,9","8,o,x","9,M,a,x","a,x,cc,9","o,Z","a,x,8,a,Q","M,a,Q"
55,r,1,"cc,8,9","o,N,o,x","N,c,8,9","N,c,?,9","c^c,o","M,cc,o,8,a,m","o,x,N,a,Q","o,N,a,Z,o,Z","o,c,N,a,m","P2,cc,M,cc,8,9"
55,r,2,"a,n","c^c,a,Z","o,M,a,Z","o,M,o,x","8,a,m","o,c,N,c,9","x,cc,8,a,x",Z,"o,N,a,n","4,o,N,a,m"
55,v,1,"8,a,m,9","cc,c,N,9","9,N,a,i,Z","8,a,m","9,N,a,m","M,a,x,a,Q","cc,c,8,9","8,a,m","o,8,9","9,N,a,i"
55,v,2,"o,M,a,Q","8,a,m","a,n,o","a,Z","2,x","o,x,N,c,c,cc,9","cc,c,N,9","a,Z","8,a,m","o,Z,a,n"
56,r,1,"cc,c,c,c,N,c,o,8,9","cc,o,N,9","cc,o,9","2,cc,o,x","8,a,x","cc,o,N,9","o,M,cc,o,Z","N,cc,o,x","c^c,o",9
56,r,2,"8,a,m","N,c,o,x","o,M,cc,c,9","2,o,M,o,8,a,i","N,cc,o,a,Z","cc,o,N,cc,9","c^c,o","8,9","8,a,m","2,cc,c,9"
56,v,1,"c,N,c,o,2","cc,o,Z","cc,o,N,cc,o,x","2,a,m","N,cc,c,c,9","c^c,o","4,o,M,c,c,c,2","8,a,n","M,a,8","8,c,c,9"
56,v,2,"8,a,m","cc,o,x","cc,o,x","2,o,N,cc,o,x","cc,o,M,a,m","8,a,m","cc,o,x","cc,o,x","o,M,cc,o,x","cc,o,M,o,Z"
57,r,1,"c,c,c,c,o,8,a,Q","8,?,?","4,o,N,cc,o","cc,c,o,8,9,2","cc,M,c,o,8,9","o,N,c,c,o,8,9","o,c,M,c,o,8,9","4,o,M,c,c,o,8,9","cc,c,o,8,9","cc,c,o,c,M,c,9"
57,r,2,"c,P2,c,c,8,o,Q","c,M,c,c,c,9","8,c^c,c,8,9","M,?,P1,c,9","4,c,M,c,c,9","9,N,c,o,2","2,cc,c,o,2","c^c,c,8,a,m","N,c,8,9","4,o,c,M,cc,c,9"
58,r,1,"c^c,c,8,9","8,9","cc,o,x,a,x,9","4,o,P2,a,m,Q","c^c,a,x","8,a,n,Z","cc,a,x","o,x,9","o,N,a,x,a,x","9,N,a,x"
58,r,2,"a,x,8,a,Z","o,Z","a,x,N,a,Z","o,M,a,Z","o,M,c,c,o,a,x,9","cc,c,c,N,c,9","o,a,Z","o,M,a,N,a,Z","cc,c,N,9","cc,c,o,c,N,a,Z"
58,r,3,"o,N,a,x,2,a,x,cc,c,9","8,a,x","2,a,m","cc,o,N,a,x","8,cc,o,x","a,Z,a,Q","N,a,Z","9,N,a,x,9","a,x,o,x,2","M,c^c,a,x,9"
58,v,1,"c^c,c,N,c,a,x,9","c^c,c,c,9","o,N,a,Z","o,M,a,Q","o,?,?,9","8,a,m","4,o,N,a,x","o,M,a,x","4,o,M,a,i,Z","o,8,a,m"
58,v,2,"c^c,c,c,9","o,N,c,o,2","o,N,a,x,8,9","o,N,a,x,9","o,N,a,x","o,N,c,9","9,cc,c,o,c,N,c,9","a,Q","a,x,a,m","cc,o,Z"
58,v,3,"cc,c,9","cc,o,x,a,Z","4,o,a,i,2","cc,c,8,9","o,x","N,o,x","o,M,a,x","cc,c,a,x","9,N,a,Z","N,9"
58,v,4,"2,a,Z,o,x,2","cc,c,Z","c^c,c,a,Z","o,N,a,Q","4,o,N,a,n","o,c^c,a,Z","2,9,8,9","cc,c,N,9","o,N,a,Z","o,N,a,x"
65,r,1,"a,x,a,Q","8,a,Q","o,M,a,n,Q",$,$,$,$,$,$,$
65,v,1,"cc,c,o,8,9","?,a,2",9,"c^c,N,9","cc,c,o,M","9,M,a,x","8,a,x,a,Q","cc,c,o,M,c,c,9","a,i,Z","4,o,P2,2"
65,v,2,"c^c,c,N,c,8,9","cc,c,8,9","9,N,cc,c,8,9","c,P2,c,9","c^c,c,N,cc","9,M,cc,c,9","4,o","8,9","o,N,c,9","cc,o,N,c,o,8,9"
66,r,1,"4,o,N,c^c,8","o,N,c,8,9","4,o,N,a,x","4,o,N,c,c,8,9","o,N,c,8,9","o,N,a,x","4,o,N,c,c,8,a,Z","c^c,c,N,c,9","2,a,i,Z",o
66,r,2,"a,Z","N,a,x","4,o,M,c,9","8,a,Z","9,N,cc,8,9","cc,c,P1,c,c,o,Z","4,o,M,c,8,a,x","cc,c,8,9","cc,8,9","4,o,M,c,8,9"
66,r,3,"c^c,c,o,8,a,m","o,N,a,m","8,c^c,c,o,x",o,"Z,o,M,a,m","c,c,c,M,c,o","8,9,N,9","4,o,N,c,c,9","cc,c,N,c,o,8,9","o,N,c,o,8,9"
66,r,4,"9,N,o,x","c^c,8,9","o,N,cc,9","8,a,Z","cc,o,M,9","c^c,c,N,a,i,Z","4,o,N,9","c^c,N,9","8,a,x,N,9","8,a,n,Z"
66,r,5,"o,N,c,8,9","o,x","x,N,a,Z","cc,c,8,9","c^c,c,8,9","8,a,x","8,a,m","8,a,x,9","cc,c,N,9","4,o,N,a,n,Z"
66,r,6,"8,a,m",9,c^c,"a,N,a,Z","a,Y,o,Z","cc,N,9","8,a,n,Z","cc,c,c,N,9","o,x",c^c
66,r,7,"2,9","cc,c,o,Z,a,x,9","P1,cc,8,a,Z","8,a,x,9","cc,Y,a,Z","N,cc,c,o,8,9","c^c,c,8,9","o,N,a,Z","c^c,c,8,9","8,o,Z"
66,r,8,o,"c^c,c,2","a,x","4,o,N,a,Z","c^c,c,8,9","8,a,x","c^c,c,N,c,c,o,8,9","c^c,o,Z",9,"P1,a,Z,9"
66,r,9,"o,x,9","o,N,c,c,2","8,a,Z,9","4,o,N,9","N,cc,c,c,N,9","o,x","o,N,9","4,o,N,a,x,8,9","M,a,c^c,c,o",P1
66,r,10,"N,c,cc,o,8,9","cc,o,8,9","4,o,N,c,o,8,9","c^c,o,x","8,a,x","cc,c,M,c,c,8,9","c^c,c,o,8,9","N,a,x","cc,c,o,x","2,a,n,Z"
66,r,11,M,"cc,c,9","cc,c,N,c,9","cc,o,N,c,c,9","c^c,c,8,9",x,"o,x,x,8","c,M,c,9","c^c,c,o","9,N,c,c,o,8,9"
66,r,12,"Z,o,x","c^c,c,c,M,c,9","x,M,c^c,o,x,9","o,M,c,9","a,x,N,c,9","a,Z","o,x","x,P2,cc,c,c,2","o,M,c,o,8,9","c^c,c,o,Z"
66,r,13,"x,8,9","4,o,N,9","c^c,c,o,8,9","cc,o,8,9","9,N,cc,8,9","cc,c,o,N,9","4,o,N,a,x","o,x,N,c,o,x","a,Z","4,o,N,c,9"
66,r,14,"c,P2,c,c,8,9","4,o,M,cc,c,8,9","N,o,8,9","P2,cc,c,8,9","cc,c,8,9","o,N,a,x","x,8,a,m","o,M,c,c,9","c^c,c,o,x",Y
66,r,15,"c^c,c,N,c,a,Z","c^c,c,N,a,x,9","cc,c,M,9","x,N,c,c,8,9","x,cc,c,9",8,"8,N,a,Z","4,o,N,o,x","x,N,c,o,x","c^c,c,M,c,9"
66,r,16,"9,N,c,?,2,cc,c,Q","cc,M,9","8,a,m","o,M,cc,c,o",$,$,$,$,$,$
66,v,1,"8,a,x","cc,o,N,a,x","4,o,N,c,8,9","c^c,c,8,c,P1,a,Q","c^c,8,9","8,a,x","cc,c,N,a,x","N,o,8,a,x","8,a,x","cc,c,N,c,9"
66,v,2,"N,o,8,9","cc,c,M,9","cc,c,N,9","N,c,c,8,9","4,o,N,o,x","4,o,N,c,c,8,9","cc,c,o,8,9","8,cc,c,N,c,c,8,9","9,M,cc,8,9","cc,c,N,c,8"
66,v,3,"o,M,9","o,N,cc,8,9","c^c,c,8,a,Z","9,N,c,8,a,m","8,a,x,N,a,x","8,a,m","c^c,c,9","9,8,c,c,2","cc,N,c,c,o,8,9","8,a,Z"
75,r,1,"4,o,x,9","o,x","8,a,n","c^c,c,o,x","o,x","8,a,n","8,9","c^c,9","4,o,N,c,c,8,9","c^c,c,N,c,9"
75,r,2,"8,a,n,9","2,a,x,8,9","2,a,n,o","9,cc,M,9","8,a,Z,o","2,o,x,2","9,cc,c,9","8,a,x,9","o,N,c,c,8,9","2,a,x"
75,r,3,"a,8,9","8,a,Z","Z,a,Q","x,cc,c,8,9","4,o,N,c,c,8,9","o,x","x,o,Z","cc,c,c,M,c,9","2,a,n","4,o,N,a,Q"
75,r,4,"8,a,x,8,9","4,o,N,c,8,9","4,o,N,c,8","cc,c,9","c^c,c,8,9","4,o,N,a,2","cc,c,N,c,9","4,o,N,c,9","8,c^c,c,8,9","o,N,a,Z,o,x,o,Q"
75,r,5,"o,x,a,Z","cc,c,8,9","o,M,o,x","c^c,c,8,9","8,a,n","4,o,N,c,8,9","c^c,c,o,x","4,o,N,c,8,9","4,o,N,c,9","o,N,a,m"
75,v,1,"x,c^c,c,8,9","c,N,c,9","2,a,m","x,8","c^c,c,c,N,c,9","4,o,N,a,n","c^c,c,8,9,N,a,n","2,a,x","4,o,N,a,x,o,Q","N,c,c,8,9"
75,v,2,"o,M,o,x,9","9,N,c,8,9","4,o,M,c,8","8,a,x","x,cc,9","o,Z,9","4,o,N,a,x","8,a,x,c^c,8","8,a,Z,o,x","2,a,Z,a,x"
75,v,3,"cc,a,Z,o,Z","o,N,a,m","4,o,N,a,n","4,o,x,c^c,c,9","c^c,c,c,9","o,x","c^c,c,o,x,o","a,Z","cc,x","cc,c,c,9"
75,v,4,"o,x,cc,c,8,9","4,o,x,c^c,c,o,x","cc,c,8,9","o,N,a,n","P1,o,Z,c^c,c,9","8,a,m","8,a,x","o,M,a,Z","4,o,N,a,Z","cc,c,?,8,9"
75,v,5,"o,x,N,a,x","4,o,N,o,x","4,o,N,c,c,8,9","2,o,x,N,c,8,9","2,o,x,cc,c,8,9","o,x,9","M,c,8,a,Z","4,c,N,9","o,N,c,8,9","4,o,M,c,8,9"
75,v,6,"o,Z,o,x","o,M,c,9","o,x,cc,c,8,9","4,o,N,c,9","cc,c,9","4,o,x","o,x,N,c,8,9","o,x,N,c,8,9","9,N,c,c^c,c,9","x,8,9"
76,r,1,"cc,a,x","4,o,N,a,x","o,x,c^c,c,o,x","cc,c,9","x,cc,c,9","o,M,c,c,9","o,x,9","o,N,c,o,Z,a,Z","cc,o,x","o,x,a,x,o,Z"
76,r,2,"cc,8,9","x,o,x","cc,a,x,9","o,x,9","cc,o,x","c^c,c,c,o,x,8,9","4,o,N,a,Z","4,o,N,c,9","c^c,c,9","2,o,Z"
76,r,3,"Z,o,Z,9","o,M,a,x","4,o,N,a,m","o,x,N,c,8,9","c^c,8,9","8,o,x","2,a,x","c,?","P1,cc,c,8,9","a,x,x,o,Z,a,x"
76,r,4,"c^c,8,9","o,Z","4,o,N,c,c,9","c^c,c,8,9","o,x","4,o,N,a,m","o,N,c,8,a,x,o,Z","cc,c,c,M,c,c,9","x,8,a,m","o,N,c,c,8,9"
76,v,1,"cc,c,c,8,9","a,x",Z,"cc,c,c,9","Z,a,x","cc,c,9","c^c,c,o,Z","Z,a,x","4,o,x,N,c,c,c,9","o,N,c,c,8,9"
76,v,2,"cc,c,c,M,c,c,9","cc,c,8,9","cc,c,8,a,x","x,c^c,c,c,8,9","M,cc,c,8,9","8,c,c,8,9","4,o,c,c,N,c,c,8,9","c^c,c,M,c,c,8,9","4,o,M,c,c,8,9","o,M,c,8,9"
76,v,3,"o,x,c^c,c,9","x,cc,c,8,9","8,a,x","x,c^c,c,c,9","4,o,N,c,c,9","2,a,m","c^c,c,M,c,9","o,x,cc,c,8,Z","cc,c,8,9","c^c,c,8,9"
76,v,4,"c^c,c,N,c,c,8,9","o,M,a,m","2,a,m","o,M,9","o,M,o,x","cc,c,N,c,c,8,9","M,a,m","cc,c,8,9","4,o,N,a,m","cc,c,8,9"
76,v,5,"4,c,c,8,9","o,N,c,c,9","x,c^c,c,M,9","M,c,c,9","cc,c,o,x","8,a,m","o,x,o,Z","2,a,m","4,o,N,9","x,cc,c,8,9"
76,v,6,"c^c,c,8,9","a,m",Z,"4,o,x","cc,c,8,9","4,o,N,c,8,9","cc,c,8,9","c^c,c,9","2,o,x","cc,a,Z,a,m"
77,r,1,"8,o,M,c,8,9","2,o,Z,a,x","8,cc,8,9","o,M,o,x","o,M,o,Z,N","o,M,c,8,9","o,x,N,cc,2","8,a,Z,cc,8,a,Z",$,$
77,r,2,"4,o,x,cc,9","c^c,c,a,Z","x,P1,cc,c,o,x","c,P2,c,c,9","c^c,o,Z","8,o,x","8,a,m","4,o,N,a,x","cc,c,8,9","4,o,N,c,c,8,9"
77,r,3,"o,M,cc,8,9",$,$,$,$,$,$,$,$,$
77,r,4,"x,cc,c,?,9","cc,c,c,9","cc,c,c,8,9","4,o,N,a,n","4,o,M,c,c,8,9","cc,c,9","M,c,c,o,x,a,n","o,x,cc,c,9","4,o,N,a,x","4,o,N,c,c,8,9"
77,r,5,"a,x,o,N,9","2,o,8,a,Z","8,a,x,o","8,a,Z,9","M,a,n","8,a,x,o","2,a,x","2,a,n,2,o,x","8,a,x","9,c^c,c,c,9"
77,r,6,"o,M,a,x,a,m,o",$,$,$,$,$,$,$,$,$
77,v,1,"o,M,o,x,o,Z","c^c,c,8,9","o,M,a,x","o,Z,cc,c,8,a,x","o,x,N,c,c,8,a,x","9,N,a,x","o,N,a,n",$,$,$
77,v,2,"o,?,c,o,c,8,?,Z","o,N,a,x,o","2,a,Z,o,Z,a,x",$,$,$,$,$,$,$
77,v,3,"c^c,c,9","N,a,m","4,o,x","a,Z","Z,a,Z","4,o,x","o,Z,cc,c,c,9","4,c,8,9","x,cc,c,9","o,x,cc,c,9"
77,v,4,"o,x,cc,8,9","o,x,c^c,c,o,Z","4,o,N,c,8","4,o,N,c,8,9","9,cc,c,8,9","o,x","4,o,N,a,n","cc,c,8,9","2,a,n","cc,c,N,9"
77,v,5,"o,N,a,x","cc,c,a,x,N,a,m","x,cc,c,8,9","4,o,N,a,x","4,o,N,c,c,9","M,cc,c,c,9","o,x,8,9","o,x,Z,a,m","x,8,cc,c,9","cc,8,a,n"
78,r,1,"o,N,a,Z,a,x","o,Z,a,Z,9","o,M,a,2,o,8,x,a,Z,9","8,cc,c,8,a,x,9","8,a,Z,a,x,o,c,P1,c,9","o,N,cc,8,9","o,N,cc,8,x,8,x,o",$,$,$
78,r,2,"a,x,8,9","8,a,n,x","cc,c,N,c,a,x","8,a,m","a,o,x","a,n","4,c,c,8,a,Z","a,Z,c^c,c,8,9","N,a,Z,9","2,o,x,c^c,c,9"
78,r,3,"8,a,Z","4,o,N,?,?","P2,cc,c,8,9","x,cc,c,8,9","N,o,M,a,x,9","o,P2,a,x,9","cc,P1,a,m","8,a,n","8,9","4,o,N,c,m"
