,textstring
1.29,xxix. jtem wiltu gutte suppen machen. so nym die duerten ruben brw vnd leueter sie schon mit abseigen oder durch ein tuch in ein pfanne. vnd wenig honigs darein. mach es ab mit gntten wurtzen vnd saltz versuch es wol vnd geueß den vber du magst ein erbeyß brw da mit bessern vnd zu allen andernn suppen von gebeeten brot vnd ingwer darauf gethan. wiltu erberen lewten solch suppen geen an fastagen so see zucker darauf vnd heisse visch dar bey also trucken.
1.30,xxx. jtem wiltu machen ein gut muß von kirschen brich die stil ab vnd stoß in einem morsser mit kern vnd al. nym feigen weinber auf ein essen. nym weiß brotschnitten die weich in wein temperir es durch ein ander streich es durch ein tuch mit anderm wein mach es nit zu dick noch zu duene. thu ein steueblein mels darein vnd schmaltz thu es durch ein pfan zu reib es gar wol. vnd die weil es seuedt als ein ander muß richt es an vnd see lautter schmaltz vnd wurtz darauf. trag es dan also fuer. vnd also magstu auch amerelen. weigsel. eerper mueßer machen. vnd rotter wein zimpt dar zu baß dan der weisse vnd dz steueblein melbs sol man vor hin wol mit dem wein zwern ee man das ein thut. den ruer es gar wol biß es geseuedt so mueßet es sich gar wol vnd stet schon.
1.31,xxxi. jtem wiltu gerennet milch machen. nym reiß vnd stoß den klein schlach in durch ein siblein. nym geschelt mandelkern stoß sie woll mach milch. die besten seyg ab. vnd nym die andern setz sie zum feuer bewar das sie nit vberge vnd an brinne. thu das reismelb darein ee dz die milch heiß werdt mach dar auß ein dicks mueßlein. schuet es darnach in ein feuechte schusselen las kalten. schneid es in stuck weckleinß weiß vnd lege es in ein andere schuessel. so nym dan die dick milch von mandelmilch. geueß die daruber bestecke das mit mandel vergult oder geferbt.
1.32,xxxij. hie ler ich verguelden muß oder was von gebraten oder gebachen das kalt ist. mach ein klein honig wasser bestreich die metal da mit vnd scheueß das golt oder silber darauf als naß vnd druck es mit baumwollen zu wo es nit gleich leit. du magst leckuchen oder ander sach also verguelden sunst thaug kein ander assit zu essenden dingen. mach ein hueltzen scher da mit du das golt hebest. vnd ruerre das mit plosser handt nit an. es verdirbt anderst.
1.33,xxxiij. jtem ein blabes muß mach also von mandel vnd von reiß. stos korn plumen gar wol mit wasser drucks durch ein tuch das behalt. stoß mandel mit dem selben wasser. vnd zwing es aber durch so hastu ein blabe milch. dauon mach dz muß mit reiß oder ein weitzen mueslein. wiltu gerenn so strew klein weinber darauff. vnd versaltz nit. vnd laß es nit anbrinnen. die mueßlein sten gar woll in newen zinnen schueßeln. oder in weissen hueltzen schuesselein.
1.34,xxxiiij. wiltu machen ein schwartz gemueß. so nym weinber opffel birnen. gebraten oder gesotten vnd zucker. ein wenig melbs vnd wurtz vnd saltz. das zu treib mit guttem wein gar wol thu es in ein pfan laß den wein ynne sieden. ruer es wol versuch es vnd gib es dar.
1.35,xxxv. jtem ein gut gemueß von mandeln vnd von vischen thu dz ingeweid auß reinig dz vnd hack das wol wart auf die gallen. nym das bret der visch seued es ab an wurtz mit wasser dz seig ab thu die brue hin stoß die visch gar wol mit mandel milch vnnd mit weissem brot geweicht in mandel milch treib es durch mit gesotten weichem reiß. thu es in ein pfanne vber ein feuer. laß es erhitzen. rur es wol vnd versaltz sie nicht. ist es zu dick so thu mer mandel milch dar zu. mach es ab mit zucker vnd setz es fur.
1.36,xxxvi jtem wiltu blawen wein oder wasser haben in schonen glessern. das magstn mit kornplumen saft vermischen oder mit einer lautteren milch.
1.37,xxxvij. wer aber die gruenen farb haben wil der stos peterling zu allen sachen als vor verhort ist.
1.38,xxxviij. hernach volgt wie man obs lang füsch behelt. wiltu opffel vber iar frisch behalten. die leg in einen trucken keler auf ein hurdt hoch von der erden auf frisches stro vnd dz sie wol geraum ligen. wo einer malig wirt den wurf auß. den allem obs ist nicht anders dan als den reudigen schaffen.
1.39,xxxix. wiltu welschnus oder hasselnus frisch behalten so leg sy in frischen sandt in ein ecken eines trucken kelers. vnd nicht in die hefen wan sie beleiben nicht.
1.40,xl. jtem was man die leng behalten wil von vischen vnd wilprat das muß man saltzen vnd derren vnd trucken behalten also ist es auch gestalt vmb alles fleisch.
1.41,xli. jtem frucht die man vber iar behalten mag zu kochen der weigslen oder kirschen in dem bachofen behalt sie in ein keßkorb der do lufftig sey oben in einem hauß wen du ir bedarffest zu saltzen in der fasten oder zu andern zeitten so du es haben wilt so leg ein in ein schussel vnd geus frisch brunnen wasser darauf so kumen sie in ir recht alte kraft. die mag man fuer geste tragen vnd siech leuet da miterfrewen vnd allerley muesser da von machen als vor stet.
1.42,xlij. wiltu frenchisch weinber behalten nym ein hengel als do x. oder xij. trauben an hangen. mach ein gutten laymen dun mit brunen wasser in ein weit schaf vnd stos die hengel dar ein dz sie nit vntten an rurren vnd henck sie in ein keller biß darffest der mach also vil oder wenig vnd wen du sie bedarffest zu seltzamen zeiten so fuel ein schaff mit brunnen wasser henck sie darein alß lang biß der kleib erweicht vnnd floße in ab. darnach begeueß sie mit anderm frischen wasser schon laß trucken vnd trag sie den fuer
1.43,xliij. jtem sangen vber iar zu behalten alß korn oder weissen so nym sie in der gruene ab so sie seng sein vnd derre sie in einem bachoffen oder an der sunnen. behalt sie empor alß die kirschen vnd wen du die haben wilt so leg sie in frisch brunnen wasser sie kumen wider zu ir krafft da mit seued iung huener oder mach sie ab mit einem kleinen specklein vnd saltz. oder mit milchschmaltz auch seind die wild vogel gut darin gesotten vnd dewig. jtem duerre birn von allen geschlechten mag man also behalten.
1.44,xliiij. item von duerren ruben vnd steckruben die aller besten so man iungen gereuechten prueling darunter seuedt vnd mit milchschmaltch vnd saltz abgemacht dz ist gerecht.
1.45,xlv. jtem gereuecht fleisch mit nesselen das leit vnd wuermet nicht vber iar.
1.45a,mueßer zu machen.
1.46,xlvi. holdermuß zu machen. nym holderbluet vnd brock sy in ein siedenige guete milch ein gut teyl laß sieden treib es durch ein tuch mach einen hertten teick von ayren vnd wel dar auß duene pleter. schneid den teigk klein in wuermleinß weiß thu in in die siedigen milch dz sie ymmer sied. vnd ruer dz wol dz es sich vermisch. saltz es vnd mach es ab mit milchschmaltz
1.47,xlvij. jtem ein ander holdermuß von beren. nym die holderbere wasch sie schon. nym den weiß gebets brot. stoß dy ber vnd das brot mit guttem wein oder huenerbrue. thu geriben leckuchen oder honig dar zu mach es ab mit wurtzen treib es durch ein tuch in einem haffen oder in ein pfannen laß wallen vnd see wurtz darauff. jtem wiltu machen ein muß von mußbirn. so thuee in alß den holderberen
1.48,xlviij. jtem ein ander muß von birnen. nym ein weit kurtz heffelein schneyd birn dar ein die gut sein. schel zwiffelen vnd thu wein saltz vnd schmaltz daran verdeck es wol vnd setz in die glut es verzert sich vnd mußet sich selber richt es an vnd see ingwer dar auff.
1.49,xlix. jtem ein opffel muß on zwiffeln mach also. schneid klein schnitzlein ein wenig milch oder weins. auch wurtz saltz vnd schmaltz verdeck es wol laß sieden bei kleinem feuer.
1.50,l. jtem ein brombermuß oder ein weigselmuß mach also. stoß die bromber oder weigseln in einem morsser thu weißbrot dar zu vnd streichs durch ein tuch. nym dan mel vnd milch dz zwir gar wol thu es unter ein ander in ein pfannvber dz feuer ruer es wol vnd versaltz nit. dz wirt ein brand muß richt es an vnd see ingwer dar auff. die pfann sol sein schmaltzig oder thu schmaltz daran das es nit anbrin. ist es zu dick so meer es mit milch.
1.51,li. jtem maulber muß mach auch vnd wurtz es ab also in einer pfan oder hafen.
1.52,lij. kirschen muß oder amerelen muß mach auch also on dz man die mit kern vnnd all stossen muß durch getriben mit wein wasser oder fleisch brue.
1.53,liij. wiltu machen ein gruen mandel blaw oder gelb so acht vmb mangol oder tateln kornblumen oder vmb ander gruen kraut dz nit schmeck als rautten vnd ander schmeckent kraut wan es nem dem mandel sein kraft. so entaug kein ander farb den von blossen kreuetern die nit schmack oder kraft haben vnd doch gut farbe haben. doch stoß der mandel vil oder wenig mach ein milch als sie ist dar zu mach ein gute visch brue do bersig in gesotten sein vermisch es wol vnd las gesten so ist es fein vnd gruen. dz ist ein gruen milch. also magstu sie von saffran gel machen von kornblumen blaw. vnd von rotem vermisch rot wie du wilt so du sie wilt fuer tragen so brich sie auff ein schuessel als glaß milch vermisch den zucker vnd saltz mit ein ander das trag darauf nit zu vil vnd setz es fuer. wltu guelden mandelkern oder weiß vnd verguelt darein stossen vor erbern gesten das ist gut vnd gerecht vnd ein hoflich essen.
1.54,liiij. jtem wiltu machenn ein hofliche zigeren von mandel so nym mandel alß vil du wilt stoß den klein vnd streich in durch ein tuch mit wasser vnd mach die milch warm in einem hafen ruer sie gar wol nym ein gelebte brue von vischen vnd bersig gesotten oder von kelbernn oder schaffuessen gesotten woll lautter gestanden abgesaltzen vnd die mandel milch da mit vermischt. laß erkalten vnd gesteen als ein sultz brich sie dan auff ein schuessel bestreuet mit zucker vnd setz es fuer
1.55,lv. jtem wiltu machen ein keß von mandel milch. nym ayer schlach sie in die mandel milch gar wol getemperiret. seued die wol saltz sie ab wiltu wurtz dar ein thun. oder wiltu sie gelb machen dz machstu thun vnd wen sie gesotten ist vnd von den ayren hert wirt so teuech sie mit einem loffel wol zusamen thu den ein seich tuch in ein pfeffer pfan das ist ein durch schlack das breit woll vber vnd schuet die keß darauf. vnd las dz molcken gar wol abgen wiltu ij. iij. oder iiij. schuessel machen oder wie vil du wilt. richt sie an vnd besee sie mit zucker. vnd gib sie dar.
1.56,lvi. jtem gebaches von oblaten mach also. nym feigen weinber erwel sie vnd hack sie klein mach es mit wurtzen vnd saffran ab vnd saltz dar zu temperir es woll. nym ein oblat vnd zeueg die feigen dar auf mach vnd setz ein ander oblat dar vber zeueg das durch ein teiglein von weissem mell vnd back sie schon. jtem wiltu machen ein gebaches von mandel vnnd von reiß. stoß den mandel mit wasser vnd auch ein dieke milch. vnd stoß den reiß trucken schlach in durch ein siblein las die milch erwallen. see das mel darein ruer es wol vnnd mach ein dickes muß. mach ein duennes teiglein mitt warmem wein gilb den woll vnd schuet das muß auß auff ein schonß bret das feuecht sey vnd laß kalten dan schneid davon als weck vnd auch als vinger lang wie du wilt zeuech dz durch ein teiglein vnd bach es.
1.57,lvij. jtem ein gut gezogen gebachens mach also. nym feigen weinber vnd erwel sie in eynen wein. stoß in einem morßer. misch mel vnd wurtz dar zu vnd mach huebsche kuechlein darauß die zeuech durch ein teiglein vnd bach sie schon das mueslein mach von warmem wein vnd von weissem mel vnd gilb es schon. so werden die kuechlein gelb vnd schon die sol man trucken fuer tragen das steet wol
1.58,lviij. jtem ein hoflich essen von erbessen. seued vnd belge die erbes schon mit einem wasser. seig die brue ab vnd behalt sie zu gebeetten suppen ab gemacht mit wurtzen kaum zu brueffen vnd gegilbet. nym der erbeyß in ein sauber becken zu treib sie mit einem grossen loffel gar woll. nym ir auff ein essen vnd thu sie in ein pfeffer pfan schlach sie durch mit der hend in gut schueßeln hab die pfann hoch so werden die erbeß gezettelt alß regenwuerm sein groß vnd klein die bewar gantz zu behalten das du sie nit brechest vnd eben in die schuessel kumen vnd nit vberhangen das laß gesteen. vnd nym vnd seued einen gutten wein mit honig darueber besprengt vnd zucker darauff geseet dz schmeckt wol so die erbeys nit versaltzen sein darumb versuch dz am ersten ee du die brue abseigest vnd abgilbest. jtem auß dem andern teil der erbeißen mach gute kuechlein also. besee die hend mit mell vnd welger die kuechlein zusamen mach ein teiglein von gilbtem wein vnd zeuech die kuechlein dar durch. heb sie mit einem loffel darauß in die pfanne vnd bach sie wie vil du ir wilt vnd mach ein gute erbeißbrue darueber gegilbt vnd abgemacht von saltz vnd wurtzen richt es an. strew weinber dar ein vnd ein lautter milchschmaltz hoflich verdeckt fuer getragen einem fuersten.
1.59,lix. jtem aber von erbeyßkuechlein gebachen linde vnd gut in einem pfefferlein von gebetem weissen brot abgemacht mit saltz nach seynen rechten versuch es.
1.60,lx. jtem wiltu machen ein mel pfefferlein behendigklichen so bren ein mel in einem schmaltz nit so fast temperir es mit wein gilb vnd wurtz es ab. bach erbeys kuechlein vor gelert vnd schuet den pfeffer daruber. warn dich kleiner gesotner weinber die strew dar ein vnd mach den pfeffer dar mit es sey mit wein oder wasser.
1.61,lxi. jtem wiltu ein hoflich essen deinen gesten geben an fast tagen fleiß dich der erbeys kuechlein vnd der gutten hurzelbirn schon geschelt vnd bereit die leg zu den erbeis kuechlein in ein schuessel nym dz birn wasser. vnd ein wenig honig daruntter mach ein ziseuenlein oder ein pfefferlein schon abgemacht nach seynem rechten vber die kuechlein vnd die birnen dar auf gethan ein lautter milch schmaltz vnd frisch ingwer vnd trag es fuer. hastu der birnen nit so mach gebraten opffel gefierteilt oder in einem teiglein vmb gewent vnd auch gerostet ein einemm schmaltz.
2.0,das ander teyl ist von fleysch speyß.
2.1,i. jtem der ein gut essen von huenern machen wil der thu also wenn dy recht vnd wol gesotten sein. so zu leg sie in vier teil. nym dz bretig vnd hack es vnd stoß wol in einem morßer also. nym haupt. kragen vnd alles ingereuesch dz hack vnd stoß do mit. nim ayer peterling vnd zwir ein loffel vol weiß melbß dz schuet dar an mit wasser oder mit wein gegilbt mit saffran. so das alles wol gestossen ist so thu es auß. vnd nym die ander glyder der huener vnd beschlach sie mit gestossen deig vmb vnd vmb yedes stueck geleich als kuchen. netz die hendt in wein streichs wol zu vmb vnd vmb legs in die alten huenerbru in einen weitten hafen dz auch die selbig bru dar vber gee. vnd laß es auch also sieden. auch weiß dz die alten feysten huener gut dar zu sein. so es nun gesotten ist. so mach die brw mit saffran ab mit wurtzen vnd saltz strew peterling dar vber klein gehackt vnd richt es an. wiltu das besser haben so nym feigen vnd weinperlein in dz geheck kaum zu prueffen vnd wie klein die glider sein sol man doch doch yedes besunder vmb schlahen vnd ein legen. ein solch geheck on mel mocht man zu gutten huener fuellen machen.
2.2,ij. wiltu machen huenner fuel so laß die leberlein vnd meglein vor wol sieden vnd hack sie klein in dy fuel da mustu essig vnd rautten zu haben vnd pfeffer ist ir wurtz der sie gern ysset das gehort groben leuettenn zu.
2.3,iij. jtem wiltu ein gut hun sieden oder braten oder fuellen so bereit das hun gar schon vnd weiden es. vnd schuerf die derm vnd nym kopf. kragen. leber. magen. vnd alles ingeweid vnd seud es in einem hafen oder in einer pfannen an die statt dz hack gar wol mit peterling schlach rohe ayer darein vnd wurtz es ab vnnd saltz es. hack ein atlas specklein darunter vnd klein weinber oder gebraten birn das knid gar wol unter ein ander das ist also dy fuel. ist den nun bereit dz hun entbloß es wol vmb vnd vmb. vnd fuel es schon mit einer seyt farb strick es zu vnd erwel es in wasser da wein vnd essig inne sey das es er star vnnd die fuel erkeck. stoß ann las bratten sitlich vnd begeueß es ye an dem wenden dz ist gut. so du nun das hun wilt sieden. so bedarf man das ingereuesch nit sieden hack es vngesotten vnd bereit die fuell da mit alß vor vngeseued einß mit dem anderen in eytel wasser vnd saltz zimlich der hafen sol weit sein das es nit an brin. faym es schon vnd bedeck es wol vnd geueß lutzel dar an so beleibt die brw wol geschmack. so du es wilt an richten. so magstu es mit wurtz vnd saffran ab machen vnd versuch es woll.
2.4,iiij. jtem wiltu machen gestoßne huener. so seued dy alten feisten huenner wol. faym die brw vnd mach sy lauter als ein brw von einem wasser vnd geueß nicht mer daran. saltz es. verseued es nicht. thu dy huener auß vnd behalt die brw. seig das faist ab in einen andern hafen vnd die mager brw aber in ein anderen die las also steen. den wuerf die huener auf die banck zeuech die grossen bein auß vnd hack sie dan gar klein. weich ein weiß brosembrotz in die mageren brw gar wol vnd nym dan dz brot vnd die huenner vnd stoß gar wol in einen morsser zwing es durch ein pfeffertuch mit der alten huenerbrw stos es ander weit vnd zwing es aber durch. ist es zu duenne so thu mer weißbrot dar ein vnd zwing es durch. ist es zu dick so zwing es on brot durch thu es in ein pfannen erwel es vnnd mach es ab mit wurtzen vnd mit saltz. alß es nun durch ist gangen das sein vnd heissen gestossen huenner. thu darauf ein lautter schmaltz vor behalten. also merck allerley vogel gestossen also gemacht vnd mit seid farb ab gesotten.
2.5,v. jtem von anderm fleisch dz man stossen muß als alten krancken menschen die der zen vnd kewens nicht vermogen. nym kalbfleisch oder wiltprat oder ander fleisch das do bretig sey als do man knopflein auß mach solch fleisch dz neuelich geschlagen wer frisch vnd schon. seued es on saltz schaum es vnd seyg die brw lauter ab vnd schon die behalt. stoß in einem morsser gar woll mit ein wenig semelbrot dz streich durch ein tuch mit der brw vor behalten vermisch die mit wein vnd essig. doch zu brueffen. wiltu das dick haben so klopf ayer totter mit der selbigen durch getriben brw. wiltu es duene so laß on ayer beleiben aber mit wurtzen vnd saltz vnd darauff lautter milchschmaltz vnd gib es dar. wiltu es dan duen dar geben. so mach gebeetz brot vnd gib es duen fuer ein suppen so ist es gerecht vnd gut.
2.6,vi. jtem ein galradt mach wo vber du wilt allso. nym weiß duen brotschnitten die bee auf einem rost. bren sie woll vnd seueber sie die leg in einen gutten warmen wein. weich sie wol vnd treib sie durch ein tuch. nym feigen weinber geriben leckuchen. treib das durch mit einer huenerbrw oder fleischbrue dz vermisch vnter den brotpfeffer nit zu dick noch zu duenne. ruer weinber darein in hafen. seudt es woll vnd rur es stetz laß nit anbrinnen mach es ab mit wurtz ingwer vnd pfeffer vnd saffran vnnd was gutter wurtz sein zeuech es vonn dem feuer vnd ruer es stetz biß es kalt wirt vnnd lae. was du von wildbret oder von gepresten schweinßkopffen oder von gebraten klein zentring vingerß lang schneidest vnd vber gesotten kalt huener oder vogel ein richtes so geueß die galradt vber. es gestet bald. darauf mag man seen ein frisch gestossen ingwer vnd schmeltz ein klein specklein mit grieben vnd allso ist es bereit. gibstu es aber kalt so bedarffestu des specks nit nuer den ingwer das stet wol.
2.7,vij. jtem ein gepresten schweins kopf mach also. nym ein saubern kessel. seued den kopf darin das die bain dar auß vallenn oder loß werden. den sauber schon. zeueg die bain dar auß schneid die schwart da von. hack dz ander. nym die orwang vnd die zung. stoß wol in einem morsser mit ein wenig brw dz mach ab mit wurtzen vnd geriben leckuchen als vil du bedarfest nym die schwart vnd leg sie auf ein feuech pfeffertuch thu das geheck in morsser zu dem gemecht der zungen temperir es dick vnd nit zu duenne schlachß auf die schwarten. magstu klein weinber haben oder grosse weinber der welschen die thu in das gemecht vnd richt es mit den henden zu vmb vnd vmb auf dem tuch schlach das tuch zu wol eben. verhefft es mit einem faden vnd leg das alles in ein pres zwischenn zwey bretter die breit genug sein. hastu den preß nit so beschwer es mit steinen genug vnd laß trucken oder in der presse sten tag vnd nacht biß es wol trucken wirt. so bereit ye zu einem pfeffer stucken herab geschnitten als vil du wilt.
2.8,viij. wiltu den von dem gepresten schwein kopf gebratens machen. so schneid zentring einer span oder zwu lang spick das mit einer nadel vmb vnd vmb kleine simbele specklein mach ein schmalen hueltzen spyß. stoß an leg in zu dem feueer des ersten wend in sitlich von dem feuer vnd den ye neher biß er durch hitzt so hat er sein genug vnd versaltz in nicht wen er von dem gemecht gesaltzen ist. hastu nit speck so begeueß in ye leicht mit einem heissen schmaltz oder mit einer heissen fleischbrw. also thut man rechpratten lenbratten oder was man von wiltprat oder von gefluegel bratten wil
2.9,ix. jtem wil man ein fuel in einen braten oder in gefluegel machen. seud .ij. herte ayer vnd hack ein peterling gar wol dar untter vnd ein wenig welscher weinper auch gebratten opffel oder gebraten birnen. knyt es durch ein ander mit einem rohen ay thu wurtz darein vnd ein wenig saffran ein klein saltz vnd fuel ein so du die bratten mit einem finger oder mit einem holtz oder mit einem messer wol durch griffen hast vnd ein gefuelt so besorg die mit zwecken oder verheft die fuel mit faden dz sie nit auß gee du magst auch ein gehakt specklein oder thu milchschmaltz in die fuel ob du wilt.
2.10,x. jtem zu einer sultzen ein brw zu machen. nym iung schweins oren vnd dy fueeß .iij. oder .iiij. klein persig dz seud rein in einem neuen hafen on saltz. so dz nun recht vnd wol gesotten ist seig die ab in einen sauberen hafen die behalt. nym dan die bein schel dz fleisch ab vnd nym darnach dz selbig fleisch vnd die bersig stoß in einem morsser. vnd nym darzu kein brot vnd auch mit seyner aygen brw truck vnd treib es durch ein pfeffertuch in aynem napf das er rein vnd sanber sey. laß gefallen seig die brw sitlych ab vnd las das truebe an dem boden vnd wen du vbernechtigst hast von huenneren oder von vogeln gebraten oder gesotten das leg in ein schuesseln. nym dan die sultzbrue thu sie in ein pfan laß erwallen mach sie ab mit wurtzen saffran vnd saltz geueß sie also heiß vber das fleisch laß gesteen am luft. jm summer setz in einen keller las gesteen. so hastu ein feine lauttere sultzen als das golt das macht der saffran vnd dz lauter abseygen. so du es solt fuer tragen erberen lewten so besteck die schuessel mit weiß geschelten mandeln das stet wol.
2.11,xi. jtem ein gut lebersultz mach also. nym ein gut kalbs gelung das seud gar rein. seig die brw ab. vnd behalt sie schon vnd versaltz ir nit. dan so nym die lebern vnd schon brot das weich in wein mit honig gesotten da mit stoß die leber vnd das brot treib das durch ein tuch in ein besundere schuessell vnd behalt es. wiltu das die sultz hart gestee so nym die ersten brw vnd seud kelber fueß darinne vnd .iiij. klein bersyg vnd ij. lorber bletter vnd weich ein schon brot aber in der selbigen brw vnd treib es durch mit der brw. die selbigen zwu brw vor vnd yetzt durch getriben mach ein brw darauß vnd untter ruer es wol mach es ab mit gutten wurtzen vnd saltz. du magst es gilben oder nit. nur dz die schon sey vnd wol gefaymet ee dz man sie durch treibt. versuch es wol vnd schut es vber vnd laß ym luft kalten.
2.12,xij. jtem die kalbs lungen hackt man klein vnd schon. dz miltz vnd dz hertz. hut nur der gallen. vnd wie man die knopflein macht also mach dz auch wol bescheidne kuechlein mit saltz vnd auch mit gutten wurtzen vnd all gar schon gesotten. vnd auch gar trucken ein gelegt zu al anderm fleysch es sey huenner kelberen oder wiltprat. es sey von voglen oder von andren zimlichen fleisch stucken so fuegen sich die lungen kuechleinn wol dar zu.
2.13,xiij. jtem man macht die lungen kuechlein zweyerley zum ersten von in selber die mit ayren wol gehackt vnd gestossen sein. auch peterling wurtz vnd saltz darein gethan auß gewelt mit einem rohen ay vnd flach kuchlein darauß gemacht also sein sie von in selbß
2.14,xiiij. die anderen kuchlein von der lungen die mach also. das hertz vnd miltz wol gehackt vnd mit hertzen ayren wol gestossen in einem morsser vnd geriben leckuchen darunter ein wenig saltz so sein sie genug gemacht. den knit mit rohen ayren vnd mach kugelein darauß die seud als huener vnd leg sie in die lebersultz vmb vnd vmb zu anderm fleysch ein groß prenten vol vnd behalt die in einem keler vor katzen.
2.15,xv. jtem wiltu machen ein gutz gebachen von kelber lungen hacke das gar klein vnd mach ein teig von ayren tottern gewurtz gesaltzen mach auch darauß kleine kugelein auch zeuech sie durch einen duennen strauben teig vnd bach sie wol in einem schmaltz die sein gut
2.16,xvi. jtem wiltu ein lebersultz gelb haben so muß man der durch getriben brw gilben wen die brw durch das pfeffertuch getriben wirt ee das man es vber geuest vnd wie man die brw vber geuest so bestet es also dz man im nicht anders jan thun vnd muß also beleiben.
2.17,xvij. jtem man mag in die lungen kuchlein alles dz hacken dz von huennern vber beleibt kopf. kragen. darm vnd alles dz ingeweid das veraynt sich da mit. man mag auch die selben kuchlein in eigner brw essen verheft mit einem kleinen specklein. oder abgemacht mit hoflichem sytten zu versten als mit milch schmaltz vnd wurtzen schon vergilbt.
2.18,xviij. jtem wer gutte knofflein von fleysch will machen welcherley es ist dz hack gar klein thu gehackten peterling dar ein. mach es ab von wurtzen vnd saltz thu ein klein specklein dar zu vnd schlach zway rohe ayer dar ein mach kugelein darauß vnd seud sie mit huenerbrw oder in yrer eigner brw gilb die wol vnd richt sie dar. solche kugelein mocht man zu lebersultzen legen vnd da mit vereinen.
2.19,xix. jtem ein holbraten mach von kalbfleysch also. hack das klein vnd gar wol thu es in ein morsser schlach ayer darein eitel gut toter vnd ein wenig schon melb wurtz es in dem morsser ab mit saltz stoß vntter ein ander behalt dz weiß vnd klopff es auf halb den mach ein breitlichen genß spiß den bick rauch. vnd nym dz fleysch auß dem morsser bestreich den spiß mit dem ayer klar vnd netz die hende darinnen vnd kleib dz fleysch vmb vnd vmb an dem spiß gar wol lenglicht in einer dick vnnd gar eben durckdruck es wol zu mit nassen henden als lang der brat ist. leg in zum feuer. des ersten klein kolen vnnd sytliche wende in von dem feuer. vnnd darnach ye lenger roscher kolen begeueß in mit eim zerlassenn altten specklein oder milchschmaltz. du magst auch der speck schnitzlein oder gehack vor darein thun oder milchschmaltz so feuecht es herwider vnd bret vill schon. oder on vntterlaß wend es vmb vnd feyer sein nicht so wirt es rosch schneid lang schnitz darein see ingwerstaub darein. stich mit einem holtz darein nym ein fleißbrw die gilb schon. thu schmaltz daran vnd hitz in. in einer pfann begeueß den braten da mit so beleibt er lindt.
2.20,xx. jtem wiltu gut hirschenlumel braten machen. nym dy nirn vnd schlachs praitlat wesch sauber nim den schweiß reib leckuchen darein treib es durch ein tuch. thu es in ein hafen thu wein vnd essig darein. wil der schweiß nit gern durch gen geueß wein darein oder fleischbrw vnd reib den leckuchen vnd schweiß durch laß steen vnd schneid die nyren vnd dz fleisch wuerflet. thu es darein vnd las sieden vnd meng es mit saltz vnd schwartzen wurtzen ab.
2.21,xxi. jtem ein rechmuß mach also. nym die bain auß dem fleisch vnd die schulterbraten auß dem rucken wo es murb sey wasch es auß warmen wein den thu in den schweiß vnd geriben leckuchen streichs durch ein tuch. auch schneid dz fleisch als wuerflet vnd thu es in den durchgang in einen hafen vnd wen es schier geseud so mach es ab mit gutten wurtzen oder reib mer leckuchen darein vnd ein saltz. versuch es vnd mach es mit schwartzen wurtzen ab.
2.22,xxij. jtem ein vischbraten mach gleicher weiß nahet als als den holbraten vor gesagt. nym ein hecht bereit in schon vnd loß im den grat ab vnd mit wurtzen abgesotten als er seinn sol. behalt die brw vnd stos in in einem morsser mit weinbereen vnnd mit honig gesotten mit wurtz vnd mit saltz. vnd ein wenig mell. dz temperir wol mit ein wenig milchschmaltz vnd schlag das vmb ein spiß alß den holbraten vnd leg in zu dem feur. nym das haupt den grat vnd den schwantz hack dz zu stuecklein mit dem schweiß seued es ab mit wein gar woll vnd reib leckuchen mach es ab mit wurtzen vnd saltz oder mit der vischbrw. versuch es wol. wiltu den hecht vor nit sieden so hack in gar klein vnd stoß in wol in einem morsser vnd bereit in mit der specie vor geseit.
2.23,xxiij. jtem wiltu machen kuechlein von wiltprat oder von anderem fleisch huner oder vogel dy bereit schon vnd seud es vor gar recht vnd thu es auß vnd hack auch dz gar klein bereit es ab mit wurtzen vnd saltz. stoß in einem morsser vnd schlach ayer darein nit zu duen das es sich las zu kuchen machen vnd bach es praun das mag man auß einem pfefferlein essen. oder sunst fuer gebratens.
2.24,xxiiij. jtem ein wachtelbrey mach also. seud die wachteln schon bereit sie in einer fleischbrw thu sie auß in einenn morsser. reib leckuchen daruntter stoß vil wol mit weissem brot vnd reib gutten keß darunter. treib es durch mit der wachtelbrwe vnd wein. thu es in ein pfannen erwel es vnd mach es ab mit wurtz vnnd saltz. strew ingwer an der anricht darauff vnd gib es fuer.
2.25,xxv. jtem ein rechmus mach also. behalt den schweiß von dem rech. seud dz ingereuesch vnd die bret hack es klein netze ein brot in der brw. streichs durch mit der brw vnd dem schweiß. thu es in ein pfannen vber das feueer las es erwallen vnd mach es ab mit wurtzen vnd saltz. hastu dan rechern gesotten fleisch oder ander wilprat gesotten oder gebraten das magstu trucken darein legen vnd das gemueß darauß schuetten vnd an der anricht mit ingwer bestrewen vnd auch ein lautrer schmaltz dar auf gethan.
2.26,xxvi. jtem wiltu machen ein gut gebachens von kelberlungen hack das gar klein vnd mach ein teig von ayren tottern gewuertz gesaltzen. mach kleine kuegelein darauß vnd zeuch sie durch ein duennen straubenteig vnd bach sy wol in einem schmaltz die sein gut.
3.0,das drit teyl ist von ayerspeyß
