,textstring
2.8.41,lib
2.8.42,cap
2.8.43,schreibet wenn man beerenhirn einfresse dass man dardurch in solche phantasey und starcke imagination gerathe als ob man selbst zu einem beeren worden ware wie er dann solches mit dem exempel eines spanischen edelmanns beweiset der nachdeme er dessen genossen in den wildnussen umbgeloffen und sich nicht anders eingebildet als er seye ein beer
2.8.44,lieber simplici hatte dein herr diese kunst gewust so dorfftestu wol ehender in einen beern wie die callisto als in einen stier wie jupiter verwandelt worden seyn
2.8.45,der pfarrer erzehlte mir dess dings noch viel gab mir wieder etwas von artzney und instruirte mich wegen meines fernern verhalts damit machte ich mich wieder nach hauss und brachte mehr als buben mit die mir nachlieffen und abermals alle wie kalber schryen derowegen lieff mein herr der eben auffgestanden war ans fenster sahe so viel narren auff einmal und liesse ihm belieben daruber hertzlich zu lachen
2.9.1,das ix capitel
2.9.2,so bald ich ins hauss kam muste ich auch in die stub weil adelich frauenzimmer bey meinem herrn war welches seinen neuen narrn auch gerne hatte sehen und horen mogen
2.9.3,jch erschiene und stund da wie ein stumm dahero die jenige so ich hiebevor beym tantz erdappet hatte ursach nam zu sagen
2.9.4,sie hatte ihr sagen lassen dieses kalb konne reden sd verspure sie aber nunmehr dass es nicht wahr seye
2.9.5,jch antwortet so hab ich hingegen vermeynet die affen konnen nicht reden hore aber wol dass dem auch nicht also sey
2.9.6,wie sagte mein herr vermeynst du dann diese damen seyen affen
2.9.7,jch antwortet seynd sie es nicht so werden sie es doch bald werden wer weiss wie es fallt ich habe mich auch nicht versehen ein kalb zu werden und bins doch
2.9.8,mein herr fragte woran ich sehe dass diese affen werden sollen
2.9.9,jch amwortet unser aff tragt sein hindern bloss diese damen aber alldereit ihre brust dann andere magdlein pflegten ja sonst solche zu bedecken
2.9.10,schlimmer vogel sagte mein herr du bist ein narrisch kalb und wie du bist so redesiu diese lassen billich sehen was sehens werth ist der aff aber gehet auss armut nackend geschwind bringe wieder ein was du gesundiget hast oder man wird dich karbaitschen und mit hunden in gansstall hetzen wie man kalbern thut die sich nicht zu schicken wissen lass horen weist du auch eine dam zu loben wie sichs gebuhrt
2.9.11,hierauff betrachtete ich die dame von fussen an biss oben auss und hinwieder von oben biss unden sahe sie auch so steiff und lieblich an als hatte ich sie heuraten wollen
2.9.12,endlich sagte ich herr ich sehe wol wo der fehler steckt der diebsschneider ist an allem schuldig er hat das gewand das oben umb den hals gehort und die brustbedecken solte unden an dem rock stehen lassen darumb schleifft er so weit hinden hernach man solte dem hudler die hand abhauen wenn er nicht besser schneidern kan jungfer sagte ich zu ihr selbst schafft ihn ab wenn er euch nicht so verschanden soll und febet dass ihr meines knans schneider bekompt der hiess meister paulgen er hat meiner meuder unserer ann und unserm ursele so schone gebrittelte rock machen konnen die unden herumb gantz eben gewest seyn sie haben wol nicht so im dreck geschlappt wie eurer ja ihr glaubt nicht wie er den huren so schone kleider machen konnen
2.9.13,mein herr fragte ob dann meines knans ann und ursele schoner gewesen als diese jungfer
2.9.14,ach wol nein herr sagte ich diese jungfrau hat ja haar das iss so gelb wie kleiner kinderdreck und ihre schaidel sind so weiss und so gerad gemacht als wenn man saubursten auff die haut gekappt hatte ja ihre haar seyn so hubsch zusamen gerollt dass es sihet wie hole pfeiffen oder als wenn sie auff jeder seiten ein paar pfund liechter oder ein dutzet bratwurst hangen hatte
2.9.15,ach sehet nur wie hat sie so ein schone glatte stirn
2.9.16,ist sie nicht feiner gewolbet als ein fetter kunstbacken
2.9.17,und weisser als ein todtenkopff der viel jahr lang im wetter gehangen
2.9.18,jmmer schad ists dass ihre zarte haut durch das haarpuder so schlim bemackelt wird dann wanns leut sehen die es nicht verstehen dorfften sie wol vermeynen die jungfer habe den erbgrind der solche schuppen von sich werffe
2.9.19,welches noch grosserer schad ware vor die funcklende augen die von schwartze klarer zwitzern als der russ vor meines knans ofenloch welcher so schrocklich glantzete wenn unser ann mit einem strohwisch davor stunde die stub zu hitzen als wenn lauter feuer darinn steckte die gantze welt anzuzunden
2.9.20,jhre backen seyn so hubsch rotlecht doch nicht gar so roth als neulich die neue nestel waren damit die schwabische fuhrleut von ulm ihre latz gezieret hatten
2.9.21,aber die hohe rote die sie an den lefftzen hat ubertrifft solche fard weit und wenn sie lacht oder redt ich bitte der herr geb nur achtung darauf so sihet man zwey reyhen zahn in ihrem maul stehen so schon zeilweis und zuckerahnlich als wenn sie auss einem stuck von einer weissen ruben geschnitzelt worden waren
2.9.22,o wunderbild ich glaub nicht dass es einem webe thut wenn du einen damit beissest
2.9.23,so ist ihr hals ja schier so weiss als eine gestandene saurmilch und ihre brustlein die darunter ligen seyn von gleicher farb und ohn zweiffel so hart anzugreiffen wie ein gaissmamm die von ubriger milch strotzt
2.9.24,sie seynd wol nicht so schlapp wie die alte weiber hatten die mir neulich den hindern butzten da ich in himmel kam
2.9.25,ach herr sehet doch ihre hand und finger an sie sind ja so subtil so lang so gelenck so geschmeidig und so geschicklich gemacht naturlich wie die zugeinerinnen neulich hatten damit sie einem in schubsack greiffen wenn sie fischen wollen
2.9.26,aber was soll dieses gegen ihrem gantzen leib selbst zu rechnen seyn den ich zwar nicht bloss sehen kan
2.9.27,jst er nicht so zart schmal und anmuthig als wenn sie acht gantzer wochen die schnelle catharina gehabt hatte
2.9.28,hieruber erhub sich ein solch gelachter dass man mich nicht mehr horen noch ich mehr reden konte gienge hiemit durch wie ein hollander und liesse mich so lang mirs gefiel von andern vexiern
2.10.1,das x capitel
2.10.2,hjerauff erfolgte die mittagsmahlzeit bey welcher ich mich wieder dapffer gebrauchen liesse dann ich hatte mir vorgesetzt alle thorheiten zu bereden und alle eitelkeiten zu straffen worzu sich dann mein damaliger stand trefflich schickte
2.10.3,kein tischgenoss war mir zu gut ihm sein laster zu verweisen und auffzurupffen und wenn sich einer fand der sichs nicht gefallen liesse so wurde er entweder noch darzu von andern aussgelacht oder ihme von meinem herrn vorgehalten dass sich kein weiser ueber einen narrn zu erzornen pflege
2.10.4,den dollen fahnrich welcher mein argster feind war setzte ich gleich auff den esel
2.10.5,der erste aber der mir auss meines herrn wincken mit vernunfft begegnete war der secretarius dann als ich denselben einen titulschmid nennete ihn wegen der eiteln titul ausslachte und fragte wie man der menschen ersten vatter titulirt hatte
2.10.6,antwortet er du redest wie ein unvernunfftig kalb weil du nicht weist dass nach unsern ersten eltern unterschiedliche leut gelebt die durch seltene tugenden als weisheit mannliche heldenthaten und erfindung guter kunste sich und ihr geschlecht dermassen geadelt haben dass sie auch von andern uber alle irdische ding ja gar ubers gestirn zu gottern erhoben worden
2.10.7,warest du ein mensch oder hattest auffs wenigst wie ein mensch die historien gelesen so verstundest du auch den unterscheid der sich zwischen den menschen enthalt und wurdest dannenhero einem jeden seinen ehrentitul gern gonnen sintemal du aber ein kalb und keiner menschlichen ehr wurdig noch fahig bist so redest du auch von der sach wie ein dummes kalb und missgonnest dem edlen menschlichen geschlecht das jenige dessen es sich zu erfreuen hat
2.10.8,jch ant wortet ich bin so wol ein mensch gewesen als du hab auch zimlich viel gelesen kan dahero urtheilen dass du den handel entweder nicht recht verstehest oder durch dein interesse abgehalten wirst anderst zu reden als du weist
2.10.9,sag mir was seyn vor herrliche thaten begangen und vor lobliche kunste erfunden worden die genugsam seyen ein gantz geschlechte etlich hundert jahr nacheinander auff absterben der helden und kunstler selbst zu adlen
2.10.10,jst nicht beydes der helden starck und der kunstler weisheit und hoher verstand mit hinweg gestorben
2.10.11,wenn du diss nicht verstehest und der eltern qualitaten auff die kinder erben so muss ich davor halten dein vatter sey ein stockfisch und dein mutter ein platteiss gewesen
2.10.12,ha
2.10.13,antwort der secretarius wann es damit wol aussgericht seyn wird wann wir einander schanden wollen so konte ich dir vorwerffen dass dein knan ein grober spesserter baur gewesen und ob es zwar in deiner heimat und geschlecht die groste knollfincken abgibt dass du dich annoch noch mehr verringert habest in dem du zu einem unvernunfftigen kalb worden bist
2.10.14,da recht antwortet ich das ists was ich behaupten will dass nemlich der eltern tugenden nicht allweg auff die kinder erben und dass dahero die kinder ihrer eltern tugendtituln auch nicht allweg wurdig seyen
2.10.15,mir zwar ists kein schand dass ich ein kalb bin worden dieweil ich in solchem fall dem grossmachtigen konig nabuchodonosor nachzufolgen die ehr habe wer weiss ob es nicht gott gefallt dass ich auch wieder wie dieser zu einem menschen und zwar noch grosser werde als mein kuan gewesen
2.10.16,jch ruhme einmal die jenige die sich durch eigene tugenden edel machen
2.10.17,nun gesetzt aber nicht gestanden sagt der secretarius dass die kinder ihrer eltern ehrentitul nicht allweg erben sollen so must du doch gestehen dass die jenige alles lobswerth seyen die sich selbst durch wolverhalten edel machen
2.10.18,wann dann dem also so folget dass man die kinder wegen ihrer eltern billich ehret dann der apffel fallt nicht weit vom stamm
2.10.19,wer wolte in alexandri m
2.10.20,nachkommlingen wenn anders noch einige vorhanden waren ihres alten uranherrn hertzhaffte dapfferkeit im krieg nicht ruhmen
2.10.21,dieser erwiese seine begierde zu fechten in seiner jugend mit weynen als er noch zu keinen waffen tuchtig war besorgend sein vatter mochte alles gewinnen und ihme nichts zu bezwingen ubrig lassen
2.10.22,hat er nicht noch vor dem dreissigsten jahr seines alters die welt bezwungen und noch ein andere zu bestreiten gewunscht
2.10.23,hat er nicht in einer schlacht die er mit den jndianern gehalten da er von den seinigen verlassen war auss zorn blut geschwitzet
2.10.24,war er nicht anzusehen als ob er mit lauter feurflammen umbgeben war so dass ihn auch die barbaren vor forcht streitend verlassen musten
2.10.25,wer wolte ihn nicht hoher und edler als andere menschen schatzen da doch quintus curtius von ihm bezeuget dass sein athem wie balsam der schweiss nach bisem und sein todter leib nach kostlicher specerey gerochen
2.10.26,hier konte ich auch einfuhren den julium caesarem und den pompejum deren der eine uber und neben den victorien die er in den burgerlichen kriegen behauptet funfftzig mal in offenen feldschlachten gestritten und mann erlegt und todt geschlagen hat der ander hat neben den meerraubern abgenomenen schiffen vom alpgeburg an biss in das ausserste hispanien statt und flecken eingenommen und uberwunden
2.10.27,den ruhm marci sergii will ich verschweigen und nur ein wenig von dem lucio sucio dentato sagen welcher zunfftmeister zu rom war als spurius turpejus und aulus eternius burgermeister gewesen dieser ist in feldschlachten gestanden und hat achtmal die jenige uberwunden so ihn herauss gefordert er konte wundmahler an seinem leib zeigen die er alle vor dem mann und keine ruckwarts empfangen mit neun obrist feldherren ist er in ihren triumphen die sie vornemlich durch ihre mannheit erlangt eingezogen
2.10.28,dess manlii capitolini kriegsehr ware nicht geringer wenn er sie im beschluss seines lebens nicht selbst verkleinert dann er konte auch wundmahler zeigen ohn dass er einsmals das capitolium mit allen schatzen allein vor den frantzosen erhalten
2.10.29,wo bleibt der starcke hercules theseus und andere die beynahe beydes zu erzehlen und ihr unsterbliches lob zu beschreiben unmuglich
2.10.30,solten diese in ihren nachkommlingen nicht zu ehren seyn
2.10.31,jch will aber wehr und waffen fahren lassen und mich zu den kunsten wenden welche zwar etwas geringer zu seyn scheinen nichts desto weniger aber ihre meister gantz ruhmreich machen
2.10.32,was findet sich nur fur ein geschicklichkeit am zeuxe welcher durch seinen kunstreichen kopff und geschickte hand die vogel in der lufft betrog
2.10.33,item am apelle der eine venus so naturlich so schon so aussbundig und mit allen lineamenten so subtil und zart daher mahlet dass sich auch die junggesellen darein verliebten
2.10.34,plutarchus schreibet dass archimedes ein gross schiff mit kauffmannswahren beladen mitten uber den marckt zu syracusis nur mit einer hand an einem einzigen sail daher gezogen gleich als ob er ein saumthier an einem zaum gefuhrt welches ochsen geschweige deines gleichen kalber nicht hatten zu thun vermocht
2.10.35,solte nun dieser rechtschaffene meister nicht mit einem besondern ehrentitul seiner kunst gemass zu begaben seyn
2.10.36,wer wolte nicht vor andern menschen preisen den jenigen der dem persischen konig sapor ein glasernes werck machte welches so weit und gross war dass er mitten in demselben auff dessen centro sitzen und unter seinen fussen das gestirn auff und nider gehen sehen konte
2.10.37,archimedes machte einen spiegel damit er der feinde kriegsschiff mitten im meer anzundet
2.10.38,so gedencket auch ptolomeus eine wunderliche art spiegel die so viel angesichter zeigten als stund im tag waren
2.10.39,welcher wolte den nicht preisen der die buchstaben zu erst erfunden
2.10.40,ja wer wolte nicht vielmehr den uber alle kunstler erheben welcher die edle und der gantzen welt hochst nutzbare kunst der buchdruckerey erfunden
2.10.41,jst ceres weil sie den ackerbau und das muhlwerck erfunden haben solle vor eine gottin gehalten worden warumb solte dann unbillich seyn wenn man andern ihren qualitaten gemass ihr lob mit ehrentituln beruhmt
2.10.42,zwar ist wenig daran gelegen ob du grobes kalb solches in deinem unvernunfftigen ochsenhirn fassest oder nicht
2.10.43,es gehet dir eben wie jenem hund der auff einem hauffen heu lag und solches dem ochsen auch nicht gonnete weil er es selbst nicht geniessen konte
2.10.44,du bist keiner ehr fahig und eben dieser ursachen halber missgonnest du solche den jenigen die solcher werth seyn
2.10.45,da ich mich so gehetzt sahe antwortet ich die herrliche heldenthaten waren hochlich zu ruhmen wann sie nicht mit anderer menschen untergang und schaden vollbracht worden waren
2.10.46,was ist das aber vor ein lob welches mit so vielem unschuldigvergossenem menschenblut besudelt
2.10.47,und was ist das vor ein adel der mit so vieler tausend anderer menschen verderben erobert und zu wegen gebracht worden ist
2.10.48,die kunste betreffend was seynds anders als lauter vanitaten und thorheiten
2.10.49,ja sie seynd eben so laer eitel und unnutz als die titul selbst die einem von denselbigen zustehen mochten
2.10.50,dann entweder dienen sie zum geitz oder zur wollust oder zur uppigkeit oder zum verderben anderer leut wie dann die schrockliche dinger auch sind die ich neulich auff den halben wagen sahe
2.10.51,so konte man der druckerey und schrifften auch wol entberen nach aussspruch und meynung jenes heiligen manns welcher darvor hielte die gantze weite welt sey ihm buchs genug die wunder seines schopffers zu betrachten und die gottliche allmacht darauss zu erkennen
2.11.1,das xi capitel
2.11.2,mein herr wolte auch mit mir schertzen und sagte
2.11.3,jch mercke wol weil du nicht edel zu werden getrauest so verachtest du dess adels ehren titul
2.11.4,jch antwortet herr wann ich schon in dieser stund andeine ehrenstell tretten solte so wolte ich sie doch nicht annehmen
2.11.5,mein herr lachte und sagte
2.11.6,das glaube ich dann dem ochsen gehoret haberstroh
2.11.7,wann du aber einen hohen sinn hattest wie adeliche gemuter haben sollen so wurdest du mit fleiss nach hohen ehren und dignitaten trachten jch meines theils achte es fur kein geringes wenn mich das gluck uber andere erhebt
2.11.8,jch seufftzete und sagte
2.11.9,ach arbeitseelige gluckseeligkeit
2.11.10,herr ich versichere dich dass du der allerelendeste mensch in gantz hanau bist
2.11.11,wie so
2.11.12,wie so
2.11.13,kalb sagte mein herr sag mir doch die ursach dann ich befinde solches bey mir nicht
2.11.14,jch antwortet wenn du nicht weist und empfindest dass du gubernator in hanau und mit wie viel sorgen und unruhe du desswegen beladen bist so verblendet dich die allzugrosse begierd der ehr deren du geniessest oder du bist eisern und gantz unempfindlich du hast zwar zu besehlen und wer dir unter augen kompt muss dir gehorfamen
2.11.15,thun sie es aber umbsonst
2.11.16,bist du nicht ihrer aller knecht
2.11.17,must du nicht vor einen jedwedern insonderheit sorgen
2.11.18,schaue du bist jetzt rund umbder mit feinden umbgeben und die conservation dieser vestung ligt dir allein auff dem hals du must trachten wie du deinem gegentheil einen abbruch thun mogest und must darneben sorgen dass deine anschlag nicht verkundschafftet werden
2.11.19,bedorffte es nicht offters dass du selber wie ein gemeiner knecht schildwach stundest
2.11.20,uber das mustu bedacht seyn dass kein mangel an geld munition proviant und volck im posten erscheine desswegen du dann das gantze land durch stetiges exequiren und tribuliren in der contribution erhalten must
2.11.21,schickest du die deinige zu solchem end hinauss so ist rauben plundern stelen brennen und morden ihre beste arbeit sie haben erst neulich orb geplundert braunfels eingenommen und staden in die asche gelegt davon haben sie zwar ihnen beuten du aber eine schwere verantwortung bey gott gemachet
2.11.22,jch lasse seyn dass dir vielleicht der genuss neben der ehr auch wol thut weist du aber auch wer solche schatz die du etwan samlest geniessen wird
2.11.23,und gesetzt dass dir solcher reichthum verbleibt so doch misslich stehet so mustu sie doch in der welt lassen und nimmst nichts darvon mit dir als die suende dardurch du selbigen erworben hast
2.11.24,hast du dann das gluck dass du dir deine beuten zu nutz machen kanst so verschwendest du der armen schweiss und blut die jetzt im elend mangel leiden oder gar verderden und hungers sterben
2.11.25,o wie offt sehe ich dass deine gedancken wegen schwere deines ampts hin und wieder zerstreut seyn und dass hingegen ich und andere kalber ohn alle bekummernus ruhig schlaffen
2.11.26,thust du solches nicht so kostet es deinen kopff dafern anders etwas verabsaumet wird das zu conservation deiner untergebenen volcker und der vestung hatte observirt werden sollen
2.11.27,schaue solcher sorgen bin ich uberhoben
2.11.28,und weil ich weiss dass ich der natur einen todt zu leisten schuldig bin sorge ich nicht dass jemand meinen stall sturmet oder dass ich mit arbeit umb mein leben scharmutzeln musse sterbe ich jung so bin ich der muhseeligkeit eines zugochsens uberhoben dir aber stellt man ohne zweiffel auff tausendfaltige weis nach desswegen ist dein gantzes leben nichts anders als ein immerwahrende sorg und schlaffbrechens dann du must freund und feind forchten die dich ohn zweiffel wie du auch andern zu thun gedenckest entweder umb dein leben oder umb dein geld oder umb deine reputation oder umb dein commando oder umb sonsten etwas zu bringen nachsinnen der feind setzt dir offentlich zu und deine vermeynte freund beneiden heimlich dein gluck
2.11.29,vor deinen untergebenen aber bistu auch nicht allerdings versichert
2.11.30,jch geschweige hier wie dich taglich deine brennende begierden qualen und hin und wider treiben wenn du gedenckest wie du dir einen noch grossern nahmen und ruhm zu machen hoher in kriegsaemptern zu steigen grossern reichthum zu samlen dem feind einen tuck zu beweisen ein oder ander ort zu uberrumpeln und in summa fast alles zu thun was andere leut geheyet und deiner seelen schadlich der gottlichen majestat aber missfallig ist
2.11.31,und was das allerargste ist so bist du von deinen fuchsschwantzern so verwahnt dass du dich selbsten nicht kennest und von ihnen so eingenommen und vergifftet dass du den gefahrlicheu weg den du gehest nicht sehen kanst denn alles was du thust heissen sie recht und alle deine laster werden von ihnen zu lauter tugenden gemacht und aussgeruffen
2.11.32,dein grimmigkeit ist ihnen eine gerechtigkeit und wenn du land und leut verderben last so sagen sie du seyst ein braver soldat hetzen dich also zu ander leut schaden damit sie deine gunst behalten und ihre beutel darbey spicken mogen
2.11.33,du beruheuter sagte mein herr wer lernet dich so predigen
2.11.34,jch antwortet liebster herr sage ich nicht wahr dass du von deinen ohrenblasern und daumendrehern dergestalt verderbet seyest dass dir bereits nicht mehr zu helffen
2.11.35,hingegen sehen andere leut deine laster gar bald und urtheilen dich nicht allein in hohen und wichtigen sachen sondern finden auch genug in geringen dingen daran wenig gelegen an dir zu tadlen
2.11.36,hastu nicht exempel genug an hohen personen so vor der zeit gelebt
2.11.37,die athenienser murmelten wider ihren simonidem nur darumb dass er zu laut redete
2.11.38,die thebaner klagten uber ihren paniculum dieweil er ausswurffe
2.11.39,die lacedaemonier schalten an ihrem lycuigo dass er allezeit mit nieder geneigtem happt daher gienge
2.11.40,die romer vermeynten es stunde dem scipione gar ubel an dass er im schlaff so laut schnarchte
2.11.41,es dunckte sie hesslich zu seyn dass sich pompejus nur mit einem finger kratzte
2.11.42,dess julii caesaris spotteten sie weil er seinen gurtel nicht artig und lustig antrug
2.11.43,die uticenser verleumdeten thren guten catonem weil er wie sie bedunckte allzugeitzig auff beyden backen asse
2.11.44,und die carthaginenser redeten dem hannibali ubel nach weil er immerzu mit der brust auffgedeckt und bloss daher gienge
2.11.45,wie dunckt dich nun mein lieber herr
2.11.46,vermeynest du wol noch dass ich mit einem tauschen solte der vielleicht neben zwolff oder dreyzehen tisch freunden fuchsschwantzern und schmarotzern mehr als oder vermuthlicher mehr als so heimliche als offentliche feind verleumder und missgonstige neider hat
2.11.47,zu dem was vor gluckseeligkeit was fur lust und was vor freud solte doch ein solch haupt haben konnen unter welches pfleg schutz und schirm so viel menschen leben
2.11.48,jsts nicht vonnoten dass du vor alle die deinige wachest vor sie sorgest und eines jeden klag uud beschwerden anhorest
2.11.49,ware solches allein nicht muheseelig genug wenn du schon weder feinde noch missgonner hattest
2.11.50,jch sehe wol wie sauer du dirs must werden lassen und wie viel beschwerden du doch ertragst
2.11.51,liebster herr was wird doch endlich dein lohn seyn sage mir was hast du darvon
2.11.52,wann du es nicht weist so lasse dirs den griechtschen demosthenem sagen welcher nachdem er den gemeinen nutzen und das recht der athenienser dapffer und getreulich befordert und beschutzt wider alles recht und billichkeit als einer so ein greuliche missethat begangen dess lands verwiesen und in das elend verjaget ward
2.11.53,dem socrati ward mit gifft vergeben
2.11.54,dem hannibal ward von den seinen so ubel gelohnet dass er elendiglich in der welt landfluchtig herum schwaiffen muste
2.11.55,also geschahe dem romischen camillo
2.11.56,und dergestalt bezahlten die griechen den lycurgum und solonem deren der eine gesteiniget ward dem andern aber nachdem ihm ein aug aussgestochen wurde als einem morder endlich das land verwiesen
2.11.57,darumb behalte dein commando sampt dem lohn den du darvon haben wirst du darffst deren keins mit mir theilen dann wann alles wol mit dir abgehet so hastu auffs wenigste sonst nichts das du davon bringest als ein boss gewissen
2.11.58,wirstu aber dein gewissen in acht nemmen wollen so wirstu als ein untuchtiger bey zeiten von deinem commando verstossen werden nicht anders als wann du auch wie ich zu einem dummen kalb worden warest
2.12.1,das xii capitel
2.12.2,unter wahrendem meinem discours sahe mich jederman an und verwunderten sich alle gegenwartige dass ich solche reden solte vorbringen konnen welche wie sie vorgaben auch einem verstandigen mann genug waren wann er solche so gar ohne allen vorbedacht hatte vortragen sollen
2.12.3,jch aber machte den schluss meiner red und sagte
2.12.4,darum dann nun mein liebster herr will ich nicht mit dir tauschen
2.12.5,zwar ich bedarffs auch im geringsten nit dann die quellen geben mir einen gesunden tranck an statt deiner kostlichen wein und der jenige der mich zum kalb werden zu lassen beliebet wird mir auch die gewachs dess erdbodens dergestalt zu segnen wissen dass sie mir wie dem nabuchodonosore zur speiss und auffenthalt meines lebens auch nicht unbequem seyn werden
2.12.6,so hat mich die natur auch mit einem guten beltz versehen da dir hingegen offt vor dem besten eckelt der wein deinen kopff zerreist und dich bald in diese oder jene kranckheit wirfft
2.12.7,mein herr antwortet
2.12.8,jch weiss nicht was ich an dir habe
2.12.9,du bedunckest mich vor ein kalb viel zu verstandig zu seyn ich vermeyne schier du seyest unter deiner kalbshaut mit einer schalckshaut uberzogen
2.12.10,jch stellte mich zornig und sagte
2.12.11,vermeynet ihr menschen dann wol wir thiere seyen gar narren
2.12.12,das dorfft ihr euch wol nicht einbilden
2.12.13,jch halte darvor wann altere thier als ich so wol als ich reden konten sie wurden euch wol anders auffschneiden
2.12.14,wann ihr vermeynt wir seyen so gar dumm so sagt mir doch wer die wilde blochdauben haher ambseln und rebhuner gelernet hat wie sie sich mit lorbeerblattern purgiren sollen
2.12.15,und die dauben turteldaublein und huner mit s
2.12.16,peters kraut
2.12.17,wer lehret hund und katzen dass sie das bethaute gras fressen sollen wann sie ihren vollen bauch reinigen wollen
2.12.18,wer die schildkrott wie sie die biss mit schirling heylen
2.12.19,und den hirsch wann er geschossen wie er seine zuflucht zu dem dictamno oder wilden poley nehmen solle
2.12.20,wer hat das wieselin unterrichtet dass es rauten gebrauchen solle wenn es mit der fledermauss oder irgend einer schlang kampffen will
2.12.21,wer gibt den wilden schweinen den epheu und den beeren den alraun zu erkennen und sagt ihnen dass es gut seye zu ihrer artzney
2.12.22,wer hat dem adler gerathen dass er den adlerstein suchen und gebrauchen soll wann er seine eyer schwerlich legen kan
2.12.23,und welcher gibt es der schwalbe zu verstehen dass sie ihrer jungen blode augen mit dem chelidonio artzneyen solle
2.12.24,wer hat die schlang instruirt dass sie soll fenchel essen wann sie ihre haut abstreiffen und ihren dunckeln augen helffen will
2.12.25,wer lehret den stock sich zu clystieren
2.12.26,den pelican sich ader zu lassen
2.12.27,und den beeren wie er ihm von den bienen solle schrepffen lassen
2.12.28,was ich dorffte schier sagen dass ihr menschen eure kunste und wissenschafften von uns thieren erlernet habt
2.12.29,jhr fresst und saufft euch kranck und todt das thun wir thier aber nicht
2.12.30,ein low oder wolff wenn er zu fett werden will so fastet er biss er wieder mager frisch und gesund wird
2.12.31,welches theil handelt nun am weislichsten
2.12.32,uber dieses alles betrachtet das geflugel unter dem himmel
2.12.33,betrachtet die unterschiedliche gebaue ihrer artlichen nester und weil ihnen ihre arbeit niemand nachmachen kan so must ihr ja bekennen dass sie beydes verstandiger und kunstlicher seyn als ihr meuschenmenschen selbst
2.12.34,wer sagt den sommervogeln wann sie gegen dem fruhling zu uns kommen und jungen hecken
2.12.35,und gegen dem herbst wann sie sich wieder von dannen in die warme lander verfugen sollen
2.12.36,wer unterrichtet sie dass sie zu solchem end einen sammelplatz bestimmen mussen
2.12.37,wer fuhret sie oder wer weiset ihnen den weg oder leyhet ihr menschen vielleicht ihnen euern seecompass damit sie unterwegs nicht irr fahren
2.12.38,nein ihr liebe leut sie wissen den weg ohne euch und wie lang sie darauff mussen wandern auch wann sie von einem und dem andern ort auffdrechen mussen
2.12.39,bedorffen also weder eures compasses noch eures calenders
2.12.40,ferners beschauet die muhsame spinn deren geweb bey nahe ein wunderwerck ist
2.12.41,sehet ob ihr auch einen einigen knopff in aller ihrer arbeit finden moget
2.12.42,welcher jager oder fischer hat sie gelehret wie sie ihr netz aussspannen und sich je nachdem sie sich eines netzes gebraucht ihr wildbret zu belaustern entweder in den hindersten winckel oder gar in das centrum ihres gewebs setzen solle
2.12.43,jhr menschen verwundert euch uber den raben von welchem plutarchus bezeugt dass er so viel stein in ein geschirr so halb voll wasser gewesen geworffen biss das wasser so wett oben gestanden dass er bequemlich hab trincken mogen
2.12.44,was wurdet ihr erst thun wann ihr bey und unter den thieren wohnen und ihre ubrige handlungen thun und lassen ansehen und betrachten wurdet
2.12.45,alsden wurdet ihr erst bekennen dass es sich ansehen lasse als hatten alle thier etwas besonderer eigener naturlicher krafften und tugenden in allen ihren affectionibus und gemutsneigungen in der fursichtigkeit starck mildigkeit forchtsamkeit rauchheit lehr und unterrichtung
2.12.46,es kennet je eines das ander sie unterscheiden sich vor einander sie stellen dem nach so ihnen nutzlich fliehen das schadlich meiden die gefahr samblen zusammen was ihnen zu ihrer nahrung nothwendig ist und betrugen auch bissweilen euch menschen selbst
2.12.47,dahero viel alte philosophi solches ernstlich erwogen und sich nicht geschamet haben zn fragen und zu disputiren ob die unvernunfftige thier nicht auch verstand hatten
2.12.48,jch mag aber nichts mehr von diesen sachen reden gehet hin zu den jmmen und sehet wie sie wachs und honig machen und alsdann sagt mir euer meynung wieder
2.13.1,das xiii capitel
2.13.2,hjerauff fielen unterschiedliche urtheil uber mich die meines herrn tischgenossen gaben der secretarius hielte darvor ichseye vor narrisch zuhalten weil ich mich selbst vor ein vernunfftig thier schatzte und dargebe massen die jenige so ein sparren zu viel oder zu wenig hatten und sich jedoch weis zu seyn dunckten die allerartlichste oder visierlichste narren waren
2.13.3,andere sagten wenn man mir die imagination benehme dass ich ein kalb seye oder mich uberreden konte dass ich wieder zu einem menschen worden ware so wurde ich vor vernunfftig oder witzig genug zu halten seyn
2.13.4,mein herr selbst sagte jch halte ihn vor einen narrn weil er jedem die warheit so ungescheut sagt hingegen seynd seine dilcursen so beschaffen dass solche keinem narrn zusiehen
2.13.5,und solches alles redeten sie auff latein damit ichs nicht verstehen solte
2.13.6,er fragte mich ob ich studirt hatte als ich noch ein mensch gewesen
2.13.7,jch wuste nicht was studiren seye war mein antwort aber lieber herr sagte ich weiters sag mir was studen vor dinger seyn damit man studiret
2.13.8,mennest du vielleicht die kegel so damit man keglet
2.13.9,hierauff antwortet der dolle fahnrich
2.13.10,watt wolts met deesem kerl sin hey hett den tufel in liff hey ist beseeten de tufel der kuhret ut jehme
2.13.11,dahero nam mein herr ursach mich zu fragen sintemal ich dann nunmehr zu einem kalb worden ware ob ich noch wie vor disem gleich andern menschen zu beten pflege und in himmel zu kommen getraue
