idx,textstring
5.8.6,for many good mannes sone  stondeth therat
5.8.7,than answerd the porter  and swor by goddes berde
5.8.8,thow ne schalt gamelyn  come into this yerde
5.8.9,thow lixt sayde gamelyn  so browke i my chin
5.8.10,he smot the wiket with his foot  and brak awey the pin
5.8.11,the porter seyh tho  it might no better be
5.8.12,he sette foot on erthe  and bigan to flee
5.8.13,by my faith seyde gamelyn  that travail is ylore
5.8.14,for i am of foot as light as thou  though thou haddest swore
5.8.15,gamelyn overtook the porter  and his teene wrak
5.8.16,and gerte him in the nekke  that the bon tobrak
5.8.17,and took him by that oon arm  and threw him in a welle
5.8.18,seven fadmen it was deep  as i have herd telle
5.8.19,whan gamelyn the yonge  thus hadde pleyd his play
5.8.20,alle that in the yerde were  drewen hem away
5.8.21,they dredden him ful sore  for werkes that he wroughte
5.8.22,and for the faire company  that he thider broughte
5.8.23,gamelyn yede to the gate  and leet it up wyde
5.8.24,he leet in alle maner men  that gon in wolde or ryde
5.8.25,and seyde ye be welcome  withouten eny greeve
5.8.26,for we wiln be maistres heer  and aske no man leve
5.8.27,yestirday i lefte  seyde yonge gamelyn
5.8.28,in my brother seller  fyve tonne of wyn
5.8.29,i wil not that this compaignye  parten atwinne
5.8.30,and ye wil doon after me  whyl eny sope is thrinne
5.8.31,and if my brother grucche  or make foul cheere
5.8.32,other for spense of mete or drink  that we spenden heere
5.8.33,i am oure catour  and bere oure aller purs
5.8.34,he schal have for his grucching  seint maries curs
5.8.35,my brother is a niggoun  i swer by cristes ore
5.8.36,and we wil spende largely  that he hath spared yore
5.8.37,and who that maketh grucching  that we here dwelle
5.8.38,he schal to the porter  into the drawwelle
5.8.39,seven dayes and seven night  gamelyn held his feste
5.8.40,with moche mirth and solas  that was ther and no cheste
5.8.41,in a little toret  his brother lay ysteke
5.8.42,and sey hem wasten his good  but durste he not speke
5.8.43,erly on a morning  on the eighte day
5.8.44,the gestes come to gamelyn  and wolde gon here way
5.8.45,lordes seyde gamelyn  wil ye so hye
5.8.46,al the wyn is not yet dronke  so brouke i myn ye
5.8.47,gamelyn in his herte  was he ful wo
5.8.48,whan his gestes took her leve  from him for to go
5.8.49,he wolde they had lenger abide  and they seyde nay
5.8.50,but bitaughte gamelyn  god and good day
5.8.51,thus made gamelyn his feest  and broughte it wel to ende
5.8.52,and after his gestes  toke leve to wende
5.9.1,litheth and lesteneth  and holdeth youre tonge
5.9.2,and ye schul heere gamen  of gamelyn the yonge
5.9.3,herkeneth lordinges  and lesteneth aright
5.9.4,whan alle gestes were goon  how gamelyn was dight
5.9.5,al the whyl that gamelyn  heeld his mangerye
5.9.6,his brother thoughte on him be wreke  with his treccherye
5.9.7,tho gamelyns gestes  were riden and ygoon
5.9.8,gamelyn stood allone  frendes had he noon
5.9.9,tho after ful soone  withinne a litel stounde
5.9.10,gamelyn was ytaken  and ful harde ybounde
5.9.11,forth com the false knight  out of the soleer
5.9.12,to gamelyn his brother  he yede ful neer
5.9.13,and sayde to gamelyn  who made thee so bold
5.9.14,for to stroye my stoor  of myn houshold
5.9.15,brother seyde gamelyn  wraththe thee right nought
5.9.16,for it is many day ygon  siththen it was bought
5.9.17,for brother thou hast yhad  by seynt richer
5.9.18,of fiftene plowes of lond  this sixtene yer
5.9.19,and of alle the beestes  thou hast forth bred
5.9.20,that my fader me biquath  on his dethbed
5.9.21,of al this sixtene yeer  i yeve thee the prow
5.9.22,for the mete and the drink  that we have spended now
5.9.23,thanne seyde the false knight  evel mot he thee
5.9.24,herkne brother gamelyn  what i wol yeve thee
5.9.25,for of my body brother  heir geten have i noon
5.9.26,i wil make thee myn heir  i swere by seint iohan
5.9.27,par ma foy sayde gamelyn  and if it so be
5.9.28,and thou thenke as thou seyst  god yelde it thee
5.9.29,nothing wiste gamelyn  of his brotheres gyle
5.9.30,therfore he him bigyled  in a litel whyle
5.9.31,gamelyn seyde he  o thing i thee telle
5.9.32,tho thou threwe my porter  in the drawwelle
5.9.33,i swor in that wraththe  and in that grete moot
5.9.34,that thou schuldest be bounde  bothe hand and foot
5.9.35,therfore i thee biseche  brother gamelyn
5.9.36,lat me nought be forsworen  brother art thou myn
5.9.37,lat me binde thee now  bothe hand and feet
5.9.38,for to holde myn avow  as i thee biheet
5.9.39,brother sayde gamelyn  also mot i thee
5.9.40,thou schalt not be forsworen  for the love of me
5.9.41,tho made they gamelyn to sitte  mighte he nat stonde
5.9.42,til they hadde him bounde  bothe foot and honde
5.9.43,the false knight his brother  of gamelyn was agast
5.9.44,and sente aftir feteres  to feteren him fast
5.9.45,his brother made lesinges  on him ther he stood
5.9.46,and tolde hem that comen in  that gamelyn was wood
5.9.47,gamelyn stood to a post  bounden in the halle
5.9.48,tho that comen in ther  lokede on him alle
5.9.49,ever stood gamelyn  even upright
5.9.50,but mete ne drink had he non  neither day ne night
5.9.51,than seyde gamelyn  brother by myn hals
5.9.52,now i have aspyed  thou art a party fals
5.9.53,had i wist that tresoun  that thou haddest yfounde
5.9.54,i wolde have yeve thee strokes  or i had be bounde
5.9.55,gamelyn stood bounden  stille as eny stoon
5.9.56,two dayes and two nightes  mete had he noon
5.9.57,thanne seyde gamelyn  that stood ybounde stronge
5.9.58,adam spenser  me thinkth i faste to longe
5.9.59,adam spenser  now i byseche thee
5.9.60,for the mochel love  my fader loved thee
5.9.61,if thou may come to the keyes  lese me out of bond
5.9.62,and i wil parte with thee  of my free lond
5.9.63,thanne seyde adam  that was the spencer
5.9.64,i have served thy brother  this sixtene yeer
5.9.65,if i leete thee goon  out of his bour
5.9.66,he wolde say afterward  i were a traytour
5.9.67,adam sayde gamelyn  so brouke i myn hals
5.9.68,thou schalt finde my brother  atte laste fals
5.9.69,therfor brother adam  louse me out of bond
5.9.70,and i wil parte with thee  of my free lond
5.9.71,up swich a forward  seyde adam ywis
5.9.72,i wil do therto  al that in me is
5.9.73,adam seyde gamelyn  also mot i thee
5.9.74,i wol holde thee covenant  and thou wil me
5.9.75,anon as adames lord  to bedde was ygoon
5.9.76,adam took the keyes and leet  gamelyn out anoon
5.9.77,he unlokked gamelyn  bothe handes and feet
5.9.78,in hope of avauncement  that he him biheet
5.9.79,than seyde gamelyn  thanked be goddes sonde
5.9.80,now i am loosed  bothe foot and honde
5.9.81,had i now eten  and dronken aright
5.9.82,ther is noon in this hous  schulde binde me this night
5.9.83,adam took gamelyn  as stille as ony stoon
5.9.84,and ladde him into spence  rapely and anon
5.9.85,and sette him to soper  right in a privee stede
5.9.86,he bad him do gladly  and gamelyn so dede
5.9.87,anon as gamelyn hadde  eten wel and fyn
5.9.88,and therto ydronke wel  of the rede wyn
5.9.89,adam seyde gamelyn  what is now thy reed
5.9.90,wher i go to my brother  and girde of his heed
5.9.91,gamelyn seyde adam  it schal not be so
5.9.92,i can teche thee a reed  that is worth the two
5.9.93,i wot wel for sothe  that this is no nay
5.9.94,we schul have a mangery  right on soneday
5.9.95,abbotes and priours  many heer schal be
5.9.96,and other men of holy chirche  as i telle thee
5.9.97,thow schalt stonde up by the post  as thou were hondfast
5.9.98,and i schal leve hem unloke  awey thou may hem cast
5.9.99,whan that they have eten  and wasschen here hondes
5.9.100,thou schalt biseke hem alle  to bring thee out of bondes
5.9.101,and if they wille borwe thee  that were good game
5.9.102,then were thou out of prisoun  and i out of blame
5.9.103,and if everich of hem  say unto us nay
5.9.104,i schal do an other  i swere by this day
5.9.105,thou schalt have a good staf  and i wil have another
5.9.106,and cristes curs have that oon  that faileth that other
5.9.107,ye for gode sayde gamelyn  i say it for me
5.9.108,if i fayle on my syde  yvel mot i thee
5.9.109,if we schul algate  assoile hem of here sinne
5.9.110,warne me brother adam  whan i schal biginne
5.9.111,gamelyn seyde adam  by seynte charite
5.9.112,i wil warne thee biforn  whan that it schal be
5.9.113,whan i twinke on thee  loke for to goon
5.9.114,and cast awey the feteres  and com to me anoon
5.9.115,adam seide gamelyn  blessed be thy bones
5.9.116,that is a good counseil  yeven for the nones
5.9.117,if they werne me thanne  to bringe me out of bendes
5.9.118,i wol sette goode strokes  right on here lendes
5.10.1,tho the sonday was ycome  and folk to the feste
5.10.2,faire they were welcomed  both leste and meste
5.10.3,and ever atte halledore  as they comen in
5.10.4,they caste their eye  on yonge gamelyn
5.10.5,the false knight his brother  ful of trechery
5.10.6,alle the gestes that ther were  atte mangery
5.10.7,of gamelyn his brother  he tolde hem with mouthe
5.10.8,al the harm and the schame  that he telle couthe
5.10.9,tho they were served  of messes two or three
5.10.10,than seyde gamelyn  how serve ye me
5.10.11,it is nought wel served  by god that al made
5.10.12,that i sitte fasting  and other men make glade
5.10.13,the false knight his brother  ther that he stood
5.10.14,tolde alle his gestes  that gamelyn was wood
5.10.15,and gamelyn stood stille  and answerde nought
5.10.16,but adames wordes  he held in his thought
5.10.17,tho gamelyn gan speke  dolfully withalle
5.10.18,to the grete lordes  that saten in the halle
5.10.19,lordes he seyde  for cristes passioun
5.10.20,helpeth bringe gamelyn  out of prisoun
5.10.21,than seyde an abbot  sorwe on his cheeke
5.10.22,he schal have cristes curs  and seynte maries eeke
5.10.23,that thee out of prisoun  beggeth other borwe
5.10.24,but ever worthe hem wel  that doth thee moche sorwe
5.10.25,after that abbot  than spak another
5.10.26,i wold thin heed were of  though thou were my brother
5.10.27,alle that thee borwe  foule mot hem falle
5.10.28,thus they seyden alle  that weren in the halle
5.10.29,than seyde a priour  yvel mot he thryve
5.10.30,it is moche scathe boy  that thou art on lyve
5.10.31,ow seyde gamelyn  so brouke i my bon
5.10.32,now i have aspyed  that freendes have i non
5.10.33,cursed mot he worthe  bothe fleisch and blood
5.10.34,that ever do priour  or abbot ony good
5.10.35,adam the spencer  took up the cloth
5.10.36,and loked on gamelyn  and say that he was wroth
5.10.37,adam on the pantrye  litel he thoughte
5.10.38,but two goode staves  to halledore he broughte
5.10.39,adam loked on gamelyn  and he was war anoon
5.10.40,and caste awey the feteres  and he bigan to goon
5.10.41,tho he com to adam  he took that oo staf
5.10.42,and bigan to worche  and goode strokes yaf
5.10.43,gamelyn cam into the halle  and the spencer bothe
5.10.44,and loked hem aboute  as they had be wrothe
5.10.45,gamelyn sprengeth holywater  with an oken spire
5.10.46,that some that stoode upright  fellen in the fire
5.10.47,there was no lewed man  that in the halle stood
5.10.48,that wolde do gamelyn  eny thing but good
5.10.49,but stood bisyden  and leet hem bothe werche
5.10.50,for they hadde no rewthe  of men of holy cherche
5.10.51,abbot or priour  monk or chanoun
5.10.52,that gamelyn overtok  anon they yeeden doun
5.10.53,ther was non of hem alle  that with his staf mette
5.10.54,that he ne made him overthrowe  and quitte him his dette
5.10.55,gamelyn seyde adam  for seynte charite
5.10.56,pay large liverey  for the love of me
5.10.57,and i wil kepe the dore  so ever here i masse
5.10.58,er they ben assoyled  there shal noon passe
5.10.59,dowt thee nought seyde gamelyn  whyl we ben infeere
5.10.60,kep thou wel the dore  and i wol werche heere
5.10.61,stere thee good adam  and lat ther noon flee
5.10.62,and we schul telle largely  how many that ther be
5.10.63,gamelyn seyde adam  do hem but good
5.10.64,they ben men of holy chirche  draw of hem no blood
5.10.65,save wel the croune  and do hem non harmes
5.10.66,but brek bothe her legges  and siththen here armes
5.10.67,thus gamelyn and adam  wroughte right fast
5.10.68,and pleyden with the monkes  and made hem agast
5.10.69,thider they come ryding  iolily with swaynes
5.10.70,and hom ayen they were ylad  in cartes and in waynes
5.10.71,tho they hadden al ydon  than seyde a gray frere
5.10.72,allas sire abbot  what dide we now heere
5.10.73,tho that we comen hider  it was a cold reed
5.10.74,us hadde ben better at home  with water and with breed
5.10.75,whyl gamelyn made ordres  of monkes and frere
5.10.76,ever stood his brother  and made foul chere
5.10.77,gamelyn up with his staf  that he wel knew
5.10.78,and gerte him in the nekke  that he overthrew
5.10.79,a litel above the girdel  the riggebon tobarst
5.10.80,and sette him in the feteres  ther he sat arst
5.10.81,sitte ther brother  sayde gamelyn
5.10.82,for to colen thy blood  as i dide myn
5.10.83,as swithe as they hadde  ywroken hem on here foon
5.10.84,they askeden watir  and wisschen anoon
5.10.85,what some for here love  and some for here awe
5.10.86,alle the servants served hem  of the beste lawe
5.10.87,the scherreve was thennes  but a fyve myle
5.10.88,and al was ytold him  in a litel whyle
5.10.89,how gamelyn and adam  had doon a sory rees
5.10.90,bounden and ywounded men  ayein the kinges pees
5.10.91,tho bigan sone  stryf for to wake
5.10.92,and the scherref was aboute  gamelyn for to take
5.11.1,now lytheth and lesteneth  so god yif you good fyn
5.11.2,and ye schul heere good game  of yonge gamelyn
5.11.3,four and twenty yonge men  that heelden hem ful bolde
5.11.4,come to the schirref  and seyde that they wolde
5.11.5,gamelyn and adam  fetten by her fay
5.11.6,the scherref yaf hem leve  soth as i you say
5.11.7,they hyeden faste  wold they nought bilinne
5.11.8,til they come to the gate  ther gamelyn was inne
5.11.9,they knokked on the gate  the porter was ny
5.11.10,and loked out at an hol  as man that was sly
5.11.11,the porter hadde biholde  hem a litel whyle
5.11.12,he loved wel gamelyn  and was adrad of gyle
5.11.13,and leet the wicket stonden  ysteke ful stille
5.11.14,and asked hem withoute  what was here wille
5.11.15,for al the grete company  thanne spak but oon
5.11.16,undo the gate porter  and lat us in goon
5.11.17,than seyde the porter  so brouke i my chin
5.11.18,ye schul sey your erand  er ye comen in
5.11.19,sey to gamelyn and adam  if here wille be
5.11.20,we wil speke with hem  wordes two or thre
5.11.21,felaw seyde the porter  stond there stille
5.11.22,and i wil wende to gamelyn  to witen his wille
5.11.23,in wente the porter  to gamelyn anoon
5.11.24,and seyde sir i warne you  her ben come your foon
5.11.25,the scherreves meyne  ben atte gate
5.11.26,for to take you bothe  schulle ye nat scape
5.11.27,porter seyde gamelyn  so moot i wel thee
5.11.28,i wil allowe thee thy wordes  whan i my tyme see
5.11.29,go agayn to the yate  and dwel with hem a whyle
5.11.30,and thou schalt see right sone  porter a gyle
5.11.31,adam sayde gamelyn  looke thee to goon
5.11.32,we have foomen atte gate  and frendes never oon
5.11.33,it ben the schirrefes men  that hider ben ycome
5.11.34,they ben swore togidere  that we schul be nome
5.11.35,gamelyn seyde adam  hye thee right blyve
5.11.36,and if i faile thee this day  evel mot i thryve
5.11.37,and we schul so welcome  the scherreves men
5.11.38,that some of hem schul make  here beddes in the fen
5.11.39,atte posternegate  gamelyn out wente
5.11.40,and a good cartstaf  in his hand he hente
5.11.41,adam hente sone  another gret staf
5.11.42,for to helpe gamelyn  and goode strokes yaf
5.11.43,adam felde tweyne  and gamelyn felde three
5.11.44,the other setten feet on erthe  and bigonne flee
5.11.45,what seyde adam  so ever here i masse
5.11.46,i have a draught of good wyn  drink er ye passe
5.11.47,nay by god sayde thay  thy drink is not good
5.11.48,it wolde make mannes brayn  to lyen in his hood
5.11.49,gamelyn stood stille  and loked him aboute
5.11.50,and seih the scherreve come  with a gret route
5.11.51,adam seyde gamelyn  what be now thy reedes
5.11.52,here cometh the scherreve  and wil have cure heedes
5.11.53,adam sayde gamelyn  my reed is now this
5.11.54,abyde we no lenger  lest we fare amis
5.11.55,i rede that we to wode goon  ar that we be founde
5.11.56,better is us ther loos  than in town ybounde
5.11.57,adam took by the hond  yonge gamelyn
5.11.58,and everich of hem two  drank a draught of wyn
5.11.59,and after took her cours  and wenten her way
5.11.60,tho fond the scherreve  nest but non ay
5.11.61,the scherreve lighte adoun  and went into the halle
5.11.62,and fond the lord yfetered  faste withalle
5.11.63,the scherreve unfetered him  sone and that anoon
5.11.64,and sente after a leche  to hele his riggeboon
5.12.1,lete we now this false knight  lyen in his care
5.12.2,and talke we of gamelyn  and loke how he fare
5.12.3,gamelyn into the woode  stalkede stille
5.12.4,and adam the spenser  lykede ful ille
5.12.5,adam swor to gamelyn  by seynt richer
5.12.6,now i see it is mery  to be a spencer
5.12.7,that lever me were  keyes for to bere
5.12.8,than walken in this wilde woode  my clothes to tere
5.12.9,adam seyde gamelyn  dismaye thee right nought
5.12.10,many good mannes child  in care is ybrought
5.12.11,and as they stoode talking  bothen infeere
5.12.12,adam herd talking of men  and neyh him thought they were
5.12.13,tho gamelyn under the woode  lokede aright
5.12.14,sevene score of yonge men  he saugh wel adight
5.12.15,alle satte atte mete  in compas aboute
5.12.16,adam seyde gamelyn  now have we no doute
5.12.17,after bale cometh boote  thurgh grace of god almight
5.12.18,me thinketh of mete and drink  that i have a sight
5.12.19,adam lokede tho  under woodebowgh
5.12.20,and whan he seyh mete  he was glad ynough
5.12.21,for he hopede to god  for to have his deel
5.12.22,and he was sore alonged  after a good meel
5.12.23,as he seyde that word  the mayster outlawe
5.12.24,saugh gamelyn and adam  under woodeschawe
5.12.25,yonge men seyde the maister  by the goode roode
5.12.26,i am war of gestes  god sende us non but goode
5.12.27,yonder ben two yonge men  wonder wel adight
5.12.28,and paraventure ther ben mo  whoso lokede aright
5.12.29,ariseth up ye yonge men  and fetteth hem to me
5.12.30,it is good that we witen  what men they be
5.12.31,up ther sterten sevene  fro the diner
5.12.32,and metten with gamelyn  and adam spenser
5.12.33,whan they were neyh hem  than seyde that oon
5.12.34,yeldeth up yonge men  your bowes and your floon
5.12.35,thanne seyde gamelyn  that yong was of elde
5.12.36,moche sorwe mot he have  that to you hem yelde
5.12.37,i curse non other  but right myselve
5.12.38,they ye fette to yow fyve  thanne ye be twelve
5.12.39,tho they herde by his word  that might was in his arm
5.12.40,ther was non of hem alle  that wolde do him harm
5.12.41,but sayde unto gamelyn  mildely and stille
5.12.42,com afore our maister  and sey to him thy wille
5.12.43,yonge men sayde gamelyn  by your lewte
5.12.44,what man is your maister  that ye with be
5.12.45,alle they answerde  withoute lesing
5.12.46,oure maister is ycrouned  of outlawes king
5.12.47,adam seyde gamelyn  gowe in cristes name
5.12.48,he may neyther mete nor drink  werne us for schame
5.12.49,if that he be hende  and come of gentil blood
5.12.50,he wol yeve us mete and drink  and doon us som good
5.12.51,by seynt iame seyde adam  what harm that i gete
5.12.52,i wil auntre to the dore  that i hadde mete
5.12.53,gamelyn and adam  wente forth infeere
5.12.54,and they grette the maister  that they founde there
5.12.55,than seide the maister  king of outlawes
5.12.56,what seeke ye yonge men  under woodeschawes
5.12.57,gamelyn answerde  the king with his croune
5.12.58,he moste needes walke in woode  that may not walke in towne
5.12.59,sire we walke not heer  noon harm for to do
5.12.60,butif we meete with a deer  to scheete therto
5.12.61,as men that ben hungry  and mow no mete finde
5.12.62,and ben harde bistad  under woodelinde
5.12.63,of gamelynes wordes  the maister hadde routhe
5.12.64,and seyde ye schal have ynough  have god my trouthe
5.12.65,he bad hem sitte ther adoun  for to take reste
5.12.66,and bad hem ete and drinke  and that of the beste
5.12.67,as they sete and eeten  and dronke wel and fyn
5.12.68,than seyde that oon to that other  this is gamelyn
5.12.69,tho was the maister outlawe  into counseil nome
5.12.70,and told how it was gamelyn  that thider was ycome
5.12.71,anon as he herde  how it was bifalle
5.12.72,he made him maister under him  over hem alle
5.12.73,within the thridde wyke  him com tyding
5.12.74,to the maister outlawe  that tho was her king
5.12.75,that he schulde come hom  his pees was ymad
5.12.76,and of that goode tyding  he was tho ful glad
5.12.77,tho seyde he to his yonge men  soth for to telle
5.12.78,me ben comen tydinges  i may no lenger dwelle
5.12.79,tho was gamelyn anon  withoute tarying
5.12.80,maad maister outlawe  and crouned here king
5.13.1,tho was gamelyn crouned  king of outlawes
5.13.2,and walked a whyle  under woodeschawes
5.13.3,the false knight his brother  was scherreve and sire
5.13.4,and leet his brother endite  for hate and for ire
5.13.5,tho were his bondemen  sory and nothing glad
5.13.6,when gamelyn her lord  wolvesheed was cryed and maad
5.13.7,and sente out of his men  wher they might him finde
5.13.8,for to seke gamelyn  under woodelinde
5.13.9,to telle him tydinges  how the wind was went
5.13.10,and al his good reved  and his men schent
5.14.1,whan they had him founde  on knees they hem sette
5.14.2,and adoun with here hood  and here lord grette
5.14.3,sire wraththe you nought  for the goode roode
5.14.4,for we have brought you tydinges  but they be nat goode
5.14.5,now is thy brother scherreve  and hath the baillye
5.14.6,and he hath endited thee  and wolvesheed doth thee crye
5.15.1,allas seyde gamelyn  that ever i was so slak
5.15.2,that i ne hadde broke his nekke  tho i his rigge brak
5.15.3,goth greteth hem wel  myn housbondes and wyf
5.15.4,i wol ben atte nexte schire  have god my lyf
5.15.5,gamelyn com wel redy  to the nexte schire
5.15.6,and ther was his brother  bothe lord and sire
5.15.7,gamelyn com boldelich  into the moothalle
5.15.8,and putte adoun his hood  among the lordes alle
5.15.9,god save you alle lordinges  that now here be
5.15.10,but brokebak scherreve  evel mot thou thee
5.15.11,why hast thou do me  that schame and vilonye
5.15.12,for to late endite me  and wolvesheed me crye
5.15.13,tho thoughte the false knight  for to ben awreke
5.15.14,and leet take gamelyn  moste he no more speke
5.15.15,might ther be no more grace  but gamelyn atte laste
5.15.16,was cast into prisoun  and fetered ful faste
5.16.1,gamelyn hath a brother  that highte sir ote
5.16.2,as good a knight and hende  as mighte gon on foote
5.16.3,anon ther yede a messager  to that goode knight
5.16.4,and tolde him altogidere  how gamelyn was dight
5.16.5,anon as sire ote herde  how gamelyn was adight
5.16.6,he was wonder sory  was he nothing light
5.16.7,and leet sadle a steede  and the way he nam
5.16.8,and to his tweyne bretheren  anonright he cam
5.16.9,sire seyde sire ote  to the scherreve tho
5.16.10,we ben but three bretheren  schul we never be mo
5.16.11,and thou hast yprisoned  the beste of us alle
5.16.12,swich another brother  yvel mot him bifalle
5.16.13,sire ote seide the false knight  lat be thy curs
5.16.14,by god for thy wordes  he schal fare the wurs
5.16.15,to the kinges prisoun  anon he is ynome
5.16.16,and ther he schal abyde  til the iustice come
5.16.17,parde seyde sir ote  better it schal be
5.16.18,i bidde him to maynpris  that thou graunte him me
5.16.19,til the nexte sitting  of deliveraunce
5.16.20,and thanne lat gamelyn  stande to his chaunce
5.16.21,brother in swich a forward  i take him to thee
5.16.22,and by thy fader soule  that thee bigat and me
5.16.23,butif he be redy  whan the iustice sitte
5.16.24,thou schalt bere the iuggement  for al thy grete witte
5.16.25,i graunte wel seide sir ote  that it so be
5.16.26,let deliver him anon  and tak him to me
5.16.27,tho was gamelyn delivered  to sire ote his brother
5.16.28,and that night dwellede  that on with that other
5.16.29,on the morn seyde gamelyn  to sire ote the hende
5.16.30,brother he seide i moot  for sothe from thee wende
5.16.31,to loke how my yonge men  leden here lyf
5.16.32,whether they liven in ioye  or elles in stryf
5.16.33,by god seyde sire ote  that is a cold reed
5.16.34,now i see that al the cark  schal fallen on myn heed
5.16.35,for when the iustice sitte  and thou be nought yfounde
5.16.36,i schal anon be take  and in thy stede ybounde
5.16.37,brother sayde gamelyn  dismaye thee nought
5.16.38,for by seint iame in gales  that many man hath sought
5.16.39,if that god almighty  holde my lyf and wit
5.16.40,i wil be ther redy  whan the iustice sit
5.16.41,than seide sir ote to gamelyn  god schilde thee fro schame
5.16.42,com whan thou seest tyme  and bring us out of blame
5.17.1,litheth and lesteneth  and holdeth you stille
5.17.2,and ye schul here how gamelyn  hadde al his wille
5.17.3,gamelyn wente ayein  under wooderys
5.17.4,and fond there pleying  yonge men of prys
5.17.5,tho was yong gamelyn  glad and blithe ynough
5.17.6,whan he fond his mery men  under woodebough
5.17.7,gamelyn and his men  talkeden infeere
5.17.8,and they hadde good game  here maister to heere
5.17.9,they tolden him of aventures  that they hadde founde
5.17.10,and gamelyn hem tolde ayein  how he was fast ybounde
5.17.11,whyl gamelyn was outlawed  hadde he no cors
5.17.12,there was no man that for him  ferde the wors
5.17.13,but abbotes and priours  monk and chanoun
5.17.14,on hem left he nothing  whan he mighte hem nom
5.17.15,whyl gamelyn and his men  made merthes ryve
5.17.16,the false knight his brother  yvel mot he thryve
5.17.17,for he was fast aboute  bothe day and other
5.17.18,for to hyre the quest  to hangen his brother
5.17.19,gamelyn stood on a day  and as he biheeld
5.17.20,the woodes and the schawes  in the wilde feeld
5.17.21,he thoughte on his brother  how he him beheet
5.17.22,that he wolde be redy  whan the iustice seet
5.17.23,he thoughte wel that he wolde  withoute delay
5.17.24,come afore the iustice  to kepen his day
5.17.25,and seide to his yonge men  dighteth you yare
5.17.26,for whan the iustice sitte  we moote be thare
5.17.27,for i am under borwe  til that i come
5.17.28,and my brother for me  to prisoun schal be nome
5.17.29,by seint iame seyde his yonge men  and thou rede therto
5.17.30,ordeyne how it schal be  and it schal be do
5.17.31,whyl gamelyn was coming  ther the iustice sat
5.17.32,the false knight his brother  foryat he nat that
5.17.33,to huyre the men on his quest  to hangen his brother
5.17.34,though he hadde nought that oon  he wolde have that other
5.17.35,tho cam gamelyn  fro under wooderys
5.17.36,and broughte with him  his yonge men of prys
5.18.1,i see wel seyde gamelyn  the iustice is set
5.18.2,go aforn adam  and loke how it spet
5.18.3,adam wente into the halle  and loked al aboute
5.18.4,he seyh there stonde  lordes grete and stoute
5.18.5,and sir ote his brother  fetered wel fast
5.18.6,tho went adam out of halle  as he were agast
5.18.7,adam said to gamelyn  and to his felawes alle
5.18.8,sir ote stant yfetered  in the moothalle
5.18.9,yonge men seide gamelyn  this ye heeren alle
5.18.10,sire ote stant yfetered  in the moothalle
5.18.11,if god yif us grace  wel for to doo
5.18.12,he schal it abegge  that broughte him thertoo
5.18.13,thanne sayde adam  that lokkes hadde hore
5.18.14,cristes curs mote he have  that him bond so sore
5.18.15,and thou wilt gamelyn  do after my reed
5.18.16,ther is noon in the halle  schal bere awey his heed
5.18.17,adam seyde gamelyn  we wiln nought don so
5.18.18,we wil slee the giltif  and lat the other go
5.18.19,i wil into the halle  and with the iustice speke
5.18.20,on hem that ben gultif  i wil ben awreke
5.18.21,lat non scape at the dore  take yonge men yeme
5.18.22,for i wil be iustice this day  domes for to deme
5.18.23,god spede me this day  at my newe werk
5.18.24,adam com on with me  for thou schalt be my clerk
5.18.25,his men answereden him  and bade him doon his best
5.18.26,and if thou to us have neede  thou schalt finde us prest
5.18.27,we wiln stande with thee  whyl that we may dure
5.18.28,and but we werke manly  pay us non hure
5.18.29,yonge men seyde gamelyn  so mot i wel thee
5.18.30,as trusty a maister  ye schal finde of me
5.18.31,right there the iustice  sat in the halle
5.18.32,in wente gamelyn  amonges hem alle
5.19.1,gamelyn leet unfetere  his brother out of bende
5.19.2,thanne seyde sire ote  his brother that was hende
5.19.3,thou haddest almost gamelyn  dwelled to longe
5.19.4,for the quest is oute on me  that i schulde honge
5.19.5,brother seyde gamelyn  so god yif me good rest
5.19.6,this day they schuln ben hanged  that ben on thy quest
5.19.7,and the iustice bothe  that is the iuggeman
5.19.8,and the scherreve bothe  thurgh him it bigan
5.19.9,thanne seyde gamelyn  to the iustise
5.19.10,now is thy power ydon  thou most nedes arise
5.19.11,thow hast yeven domes  that ben yvel dight
5.19.12,i wil sitten in thy sete  and dressen hem aright
5.19.13,the iustice sat stille  and roos nought anoon
5.19.14,and gamelyn clevede  atwo his cheekeboon
5.19.15,gamelyn took him in his arm  and no more spak
5.19.16,but threw him over the barre  and his arm tobrak
5.19.17,durste non to gamelyn  seye but good
5.19.18,for ferd of the company  that withoute stood
5.19.19,gamelyn sette him doun  in the iustices seet
5.19.20,and sire ote his brother by him  and adam at his feet
5.19.21,whan gamelyn was yset  in the iustices stede
5.19.22,herkneth of a bourde  that gamelyn dede
5.19.23,he leet fetre the iustice  and his false brother
5.19.24,and dede hem come to the barre  that oon with that other
5.19.25,tho gamelyn hadde thus ydoon  hadde he no reste
5.19.26,til he had enquered  who was on the queste
5.19.27,for to deme his brother  sir ote for to honge
5.19.28,er he wiste which they were  him thoughte ful longe
5.19.29,but as sone as gamelyn  wiste wher they were
5.19.30,he dede hem everichone  feteren infeere
5.19.31,and bringen hem to the barre  and sette hem in rewe
5.19.32,by my faith seyde the iustice  the scherreve is a schrewe
5.19.33,than seyde gamelyn  to the iustise
5.19.34,thou hast yyeve domes  of the wors assise
5.19.35,and the twelve sisours  that weren of the queste
